Saia Price to Free Cash Flow Ratio Historical Data,Saia Price to Free Cash Flow Ratio Historical Data,Saia Price to Free Cash Flow Ratio Historical Data,Saia Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,446.68,,0.0
2024-06-30,474.29,$-13.73,0.0
2024-03-31,585.0,$-7.49,0.0
2023-12-31,438.22,$5.26,83.3
2023-09-30,398.65,$4.46,89.35
2023-06-30,342.41,$4.49,76.34
2023-03-31,272.08,$1.81,150.74
2022-12-31,209.68,$4.03,52.02
2022-09-30,190.0,$1.95,97.28
2022-06-30,188.0,$4.41,42.64
2022-03-31,243.82,$4.50,54.14
2021-12-31,337.03,$3.94,85.53
2021-09-30,238.03,$6.30,37.76
2021-06-30,209.49,$4.69,44.63
2021-03-31,230.58,$6.67,34.56
2020-12-31,180.8,$3.40,53.23
2020-09-30,126.14,$2.66,47.5
2020-06-30,111.18,$1.89,58.94
2020-03-31,73.54,$-1.26,0.0
2019-12-31,93.12,$-0.31,0.0
2019-09-30,93.7,$-1.36,0.0
2019-06-30,64.67,$-0.47,0.0
2019-03-31,61.1,$0.73,84.16
2018-12-31,55.82,$1.29,43.35
2018-09-30,76.45,$1.28,59.56
2018-06-30,80.85,$0.67,119.88
2018-03-31,75.15,$1.11,67.43
2017-12-31,70.75,$-0.91,0.0
2017-09-30,62.65,$-0.24,0.0
2017-06-30,51.3,$0.68,75.51
2017-03-31,44.3,$-2.01,0.0
2016-12-31,44.15,$1.12,39.44
2016-09-30,29.96,$0.98,30.72
2016-06-30,25.14,$0.56,45.2
2016-03-31,28.15,$3.18,8.84
2015-12-31,22.25,$2.36,9.42
2015-09-30,30.95,$1.50,20.62
2015-06-30,39.29,$1.50,26.21
2015-03-31,44.3,$0.31,143.83
2014-12-31,55.36,$0.29,192.42
2014-09-30,49.56,$0.95,51.92
2014-06-30,43.93,$-0.06,0.0
2014-03-31,38.21,$-1.02,0.0
2013-12-31,32.05,$-0.82,0.0
2013-09-30,31.18,$-0.40,0.0
2013-06-30,29.97,$-0.05,0.0
2013-03-31,24.11,$1.38,17.49
2012-12-31,15.41,$0.72,21.42
2012-09-30,13.43,$0.23,58.23
2012-06-30,14.59,$-0.76,0.0
2012-03-31,11.34,$-0.73,0.0
2011-12-31,8.32,$-0.40,0.0
2011-09-30,7.01,$-0.63,0.0
2011-06-30,11.3,$0.23,50.16
2011-03-31,10.93,$0.64,17.01
2010-12-31,11.06,$0.83,13.28
2010-09-30,9.95,$0.42,23.51
2010-06-30,10.0,$0.25,39.23
2010-03-31,9.25,$-0.03,0.0
2009-12-31,9.88,$0.32,30.53
