Xerox Holdings Price to Free Cash Flow Ratio Historical Data,Xerox Holdings Price to Free Cash Flow Ratio Historical Data,Xerox Holdings Price to Free Cash Flow Ratio Historical Data,Xerox Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.07,,3.11
2024-06-30,11.62,$3.56,3.27
2024-03-31,17.9,$3.19,5.62
2023-12-31,18.33,$4.35,4.21
2023-09-30,15.69,$2.80,5.61
2023-06-30,14.89,$1.97,7.56
2023-03-31,15.15,$0.78,19.4
2022-12-31,14.36,$0.65,21.96
2022-09-30,12.86,$0.53,24.44
2022-06-30,14.34,$1.16,12.36
2022-03-31,19.16,$2.88,6.66
2021-12-31,21.24,$3.06,6.94
2021-09-30,18.72,$3.16,5.91
2021-06-30,21.54,$3.07,7.02
2021-03-31,22.02,$2.04,10.79
2020-12-31,20.82,$2.24,9.29
2020-09-30,16.67,$3.24,5.15
2020-06-30,13.4,$5.15,2.6
2020-03-31,16.33,$5.49,2.97
2019-12-31,31.35,$5.71,5.49
2019-09-30,25.26,$5.29,4.77
2019-06-30,29.66,$3.98,7.46
2019-03-31,26.6,$4.30,6.18
2018-12-31,16.31,$4.22,3.86
2018-09-30,21.99,$1.87,11.74
2018-06-30,19.38,$-0.92,0.0
2018-03-31,23.0,$-0.76,0.0
2017-12-31,23.1,$-1.46,0.0
2017-09-30,26.15,$-0.03,0.0
2017-06-30,22.41,$3.14,7.14
2017-03-31,22.7,$2.84,7.98
2016-12-31,18.4,$2.60,7.07
2016-09-30,21.18,$6.13,3.46
2016-06-30,19.69,$5.71,3.45
2016-03-31,22.96,$6.10,3.76
2015-12-31,21.71,$6.39,3.4
2015-09-30,19.75,$5.86,3.37
2015-06-30,21.44,$6.67,3.21
2015-03-31,25.73,$6.48,3.97
2014-12-31,27.59,$7.08,3.9
2014-09-30,26.22,$6.45,4.06
2014-06-30,24.54,$7.62,3.22
2014-03-31,22.18,$8.32,2.67
2013-12-31,23.75,$6.97,3.41
2013-09-30,19.99,$9.02,2.22
2013-06-30,17.52,$7.56,2.32
2013-03-31,16.51,$6.52,2.53
2012-12-31,13.0,$6.76,1.92
2012-09-30,13.91,$5.12,2.72
2012-06-30,14.83,$4.45,3.33
2012-03-31,15.13,$4.74,3.19
2011-12-31,14.84,$4.76,3.12
2011-09-30,12.92,$5.07,2.55
2011-06-30,19.19,$5.04,3.81
2011-03-31,19.55,$5.87,3.33
2010-12-31,21.06,$7.32,2.88
2010-09-30,18.85,$7.87,2.39
2010-06-30,14.59,$9.80,1.49
2010-03-31,17.6,$11.02,1.6
2009-12-31,15.21,$9.79,1.55
