Rivian Automotive Price to Free Cash Flow Ratio Historical Data,Rivian Automotive Price to Free Cash Flow Ratio Historical Data,Rivian Automotive Price to Free Cash Flow Ratio Historical Data,Rivian Automotive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,10.12,,0.0
2024-06-30,13.42,$-5.15,0.0
2024-03-31,10.95,$-5.84,0.0
2023-12-31,23.46,$-6.22,0.0
2023-09-30,24.28,$-6.65,0.0
2023-06-30,16.66,$-7.34,0.0
2023-03-31,15.48,$-7.36,0.0
2022-12-31,18.43,$-7.03,0.0
2022-09-30,32.91,$-26.75,0.0
