IES Holdings Price to Free Cash Flow Ratio Historical Data,IES Holdings Price to Free Cash Flow Ratio Historical Data,IES Holdings Price to Free Cash Flow Ratio Historical Data,IES Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,229.9,,28.64
2024-06-30,139.33,$8.03,17.36
2024-03-31,121.64,$6.46,18.84
2023-12-31,79.22,$7.11,11.14
2023-09-30,65.87,$7.68,8.57
2023-06-30,56.88,$6.68,8.51
2023-03-31,43.09,$4.12,10.47
2022-12-31,35.57,$2.65,13.43
2022-09-30,27.62,$-0.61,0.0
2022-06-30,30.17,$-2.07,0.0
2022-03-31,40.2,$-1.87,0.0
2021-12-31,50.64,$-1.20,0.0
2021-09-30,45.69,$1.46,31.26
2021-06-30,51.36,$2.36,21.74
2021-03-31,50.41,$4.16,12.12
2020-12-31,46.04,$3.87,11.91
2020-09-30,31.77,$3.42,9.29
2020-06-30,23.17,$3.31,7.01
2020-03-31,17.65,$2.70,6.53
2019-12-31,25.66,$2.16,11.85
2019-09-30,20.59,$1.54,13.33
2019-06-30,18.85,$1.00,18.85
2019-03-31,17.77,$0.21,86.01
2018-12-31,15.55,$0.03,622.0
2018-09-30,19.5,$0.37,53.21
2018-06-30,16.75,$0.61,27.51
2018-03-31,15.15,$1.26,11.99
2017-12-31,17.25,$1.36,12.68
2017-09-30,17.3,$0.84,20.66
2017-06-30,18.15,$0.76,23.74
2017-03-31,18.1,$0.29,61.92
2016-12-31,19.15,$0.55,34.91
2016-09-30,17.79,$1.11,16.08
2016-06-30,12.42,$0.88,14.17
2016-03-31,14.67,$1.07,13.77
2015-12-31,11.07,$0.64,17.17
2015-09-30,7.72,$0.41,19.04
2015-06-30,7.1,$0.52,13.58
2015-03-31,8.8,$0.63,14.05
2014-12-31,7.66,$0.68,11.23
2014-09-30,8.25,$0.57,14.36
2014-06-30,6.67,$0.17,40.11
2014-03-31,6.21,$0.17,35.67
2013-12-31,5.39,$-0.18,0.0
2013-09-30,4.06,$0.15,26.83
2013-06-30,4.44,$0.09,49.22
2013-03-31,6.5,$0.06,113.44
2012-12-31,4.5,$0.22,20.19
2012-09-30,4.55,$-0.61,0.0
2012-06-30,2.74,$0.38,7.27
2012-03-31,3.85,$-0.69,0.0
2011-12-31,1.85,$-0.48,0.0
2011-09-30,2.03,$-0.92,0.0
2011-06-30,3.14,$-1.58,0.0
2011-03-31,3.41,$-1.14,0.0
2010-12-31,3.52,$-1.45,0.0
2010-09-30,3.76,$-0.96,0.0
2010-06-30,3.49,$-0.84,0.0
2010-03-31,5.65,$0.26,21.66
2009-12-31,5.85,$-0.05,0.0
