Mesoblast Price to Free Cash Flow Ratio Historical Data,Mesoblast Price to Free Cash Flow Ratio Historical Data,Mesoblast Price to Free Cash Flow Ratio Historical Data,Mesoblast Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,9.93,,0.0
2023-06-30,31.28,$-0.82,0.0
2023-03-31,26.32,$-0.86,0.0
2022-12-31,23.28,$-0.87,0.0
2022-09-30,20.36,$-0.94,0.0
2022-06-30,17.76,$-1.02,0.0
2022-03-31,33.76,$-1.12,0.0
2021-12-31,38.4,$-1.27,0.0
2021-09-30,48.08,$-1.49,0.0
2021-06-30,59.84,$-1.69,0.0
2021-03-31,66.16,$-1.77,0.0
2020-12-31,67.92,$-1.76,0.0
2020-09-30,148.68,$-1.28,0.0
2020-06-30,91.12,$-1.11,0.0
2020-03-31,35.04,$-1.10,0.0
2019-12-31,58.96,$-1.14,0.0
2019-09-30,55.44,$-1.08,0.0
2019-06-30,42.48,$-1.17,0.0
2019-03-31,42.0,$-1.23,0.0
2018-12-31,32.96,$-1.22,0.0
2018-09-30,65.28,$-1.56,0.0
2018-06-30,44.0,$-1.62,0.0
2018-03-31,46.24,$-1.76,0.0
2017-12-31,46.72,$-1.94,0.0
2017-09-30,43.84,$-2.31,0.0
2017-06-30,63.6,$-2.40,0.0
2017-03-31,71.84,$-2.39,0.0
2016-12-31,42.8,$-2.31,0.0
2016-09-30,34.48,$-3.01,0.0
