American Assets Trust Price to Free Cash Flow Ratio Historical Data,American Assets Trust Price to Free Cash Flow Ratio Historical Data,American Assets Trust Price to Free Cash Flow Ratio Historical Data,American Assets Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,27.88,,15.28
2024-06-30,22.09,$1.83,12.11
2024-03-31,21.63,$1.60,13.53
2023-12-31,21.87,$1.39,15.79
2023-09-30,18.61,$1.29,14.43
2023-06-30,18.08,$1.26,14.37
2023-03-31,17.23,$1.09,15.75
2022-12-31,24.2,$0.86,28.26
2022-09-30,23.22,$0.57,40.72
2022-06-30,26.5,$0.60,44.35
2022-03-31,33.47,$0.55,60.83
2021-12-31,32.87,$0.84,39.28
2021-09-30,32.5,$1.00,32.62
2021-06-30,32.15,$0.93,34.57
2021-03-31,27.77,$0.92,30.29
2020-12-31,24.52,$0.83,29.4
2020-09-30,20.28,$0.98,20.67
2020-06-30,23.21,$1.03,22.54
2020-03-31,20.71,$1.12,18.5
2019-12-31,37.7,$1.04,36.22
2019-09-30,38.15,$0.77,49.31
2019-06-30,38.23,$0.77,49.64
2019-03-31,36.98,$0.81,45.83
2018-12-31,32.19,$1.28,25.15
2018-09-30,29.68,$1.48,20.1
2018-06-30,30.27,$1.52,19.96
2018-03-31,26.22,$1.63,16.13
2017-12-31,29.77,$1.53,19.4
2017-09-30,30.74,$1.48,20.76
2017-06-30,30.25,$1.45,20.9
2017-03-31,31.93,$1.32,24.12
2016-12-31,32.68,$0.97,33.84
2016-09-30,32.69,$0.92,35.39
2016-06-30,31.79,$0.83,38.43
2016-03-31,29.73,$0.28,107.35
2015-12-31,28.37,$-0.18,0.0
2015-09-30,30.03,$-0.63,0.0
2015-06-30,28.65,$-0.98,0.0
2015-03-31,31.43,$-0.80,0.0
2014-12-31,28.75,$-0.65,0.0
2014-09-30,23.67,$-0.29,0.0
2014-06-30,24.65,$0.04,700.23
2014-03-31,23.92,$0.33,72.8
2013-12-31,22.13,$0.64,34.35
2013-09-30,21.33,$0.91,23.37
2013-06-30,21.43,$0.74,28.91
2013-03-31,22.08,$0.78,28.23
2012-12-31,19.14,$0.73,26.4
2012-09-30,18.21,$0.72,25.19
2012-06-30,16.36,$0.96,17.1
2012-03-31,15.24,$0.76,19.97
2011-12-31,13.58,$1.01,13.49
