PJT Partners Price to Free Cash Flow Ratio Historical Data,PJT Partners Price to Free Cash Flow Ratio Historical Data,PJT Partners Price to Free Cash Flow Ratio Historical Data,PJT Partners Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,149.82,,19.3
2024-06-30,107.68,$7.76,13.87
2024-03-31,94.06,$9.99,9.42
2023-12-31,101.4,$10.45,9.7
2023-09-30,78.86,$10.39,7.59
2023-06-30,68.91,$10.87,6.34
2023-03-31,71.18,$9.68,7.35
2022-12-31,72.42,$8.99,8.06
2022-09-30,65.46,$10.11,6.48
2022-06-30,68.6,$8.33,8.23
2022-03-31,61.41,$4.65,13.2
2021-12-31,71.76,$2.78,25.83
2021-09-30,73.77,$2.64,27.9
2021-06-30,66.52,$4.98,13.35
2021-03-31,63.0,$7.94,7.94
2020-12-31,70.02,$10.68,6.56
2020-09-30,56.36,$15.97,3.53
2020-06-30,47.7,$11.85,4.02
2020-03-31,40.28,$8.38,4.81
2019-12-31,41.85,$8.09,5.17
2019-09-30,37.7,$3.36,11.21
2019-06-30,37.48,$4.95,7.58
2019-03-31,38.62,$6.08,6.35
2018-12-31,35.81,$4.77,7.5
2018-09-30,48.36,$7.41,6.53
2018-06-30,49.28,$6.70,7.36
2018-03-31,46.2,$5.44,8.49
2017-12-31,42.01,$5.84,7.19
2017-09-30,35.25,$4.14,8.51
2017-06-30,36.96,$4.22,8.76
2017-03-31,32.2,$3.48,9.26
2016-12-31,28.3,$5.67,4.99
2016-09-30,24.95,$4.60,5.43
