NBT Bancorp Price to Free Cash Flow Ratio Historical Data,NBT Bancorp Price to Free Cash Flow Ratio Historical Data,NBT Bancorp Price to Free Cash Flow Ratio Historical Data,NBT Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,46.49,,12.98
2024-06-30,38.33,$3.58,10.71
2024-03-31,36.11,$3.56,10.14
2023-12-31,40.87,$3.31,12.35
2023-09-30,30.63,$3.17,9.65
2023-06-30,30.5,$3.21,9.51
2023-03-31,32.0,$3.77,8.49
2022-12-31,40.91,$4.08,10.03
2022-09-30,35.53,$3.89,9.12
2022-06-30,34.92,$3.71,9.4
2022-03-31,33.31,$3.31,10.07
2021-12-31,35.26,$3.46,10.18
2021-09-30,32.81,$3.80,8.64
2021-06-30,32.42,$3.56,9.11
2021-03-31,35.71,$3.21,11.13
2020-12-31,28.52,$3.12,9.15
2020-09-30,23.61,$3.40,6.94
2020-06-30,26.85,$3.66,7.34
2020-03-31,28.03,$3.33,8.41
2019-12-31,34.83,$3.33,10.47
2019-09-30,31.21,$3.28,9.5
2019-06-30,31.76,$3.28,9.69
2019-03-31,30.27,$3.15,9.61
2018-12-31,28.89,$3.19,9.06
2018-09-30,32.05,$3.03,10.58
2018-06-30,31.66,$2.78,11.4
2018-03-31,29.25,$3.25,9.01
2017-12-31,30.14,$2.97,10.16
2017-09-30,29.9,$2.84,10.54
2017-06-30,29.88,$2.79,10.69
2017-03-31,29.78,$2.43,12.26
2016-12-31,33.46,$2.46,13.61
2016-09-30,26.1,$2.36,11.07
2016-06-30,22.58,$2.54,8.88
2016-03-31,21.09,$2.61,8.1
2015-12-31,21.64,$2.62,8.26
2015-09-30,20.76,$2.59,8.01
2015-06-30,19.99,$2.08,9.6
2015-03-31,18.98,$1.73,10.96
2014-12-31,19.72,$1.78,11.11
2014-09-30,16.76,$1.98,8.47
2014-06-30,17.73,$2.66,6.66
2014-03-31,17.89,$3.27,5.47
2013-12-31,18.77,$2.68,7.0
2013-09-30,16.52,$2.75,6.01
2013-06-30,15.08,$2.42,6.24
2013-03-31,15.62,$2.14,7.29
2012-12-31,14.16,$2.43,5.83
2012-09-30,15.26,$1.89,8.06
2012-06-30,14.79,$1.89,7.83
2012-03-31,14.97,$1.90,7.87
2011-12-31,14.87,$2.18,6.83
2011-09-30,12.39,$2.39,5.19
2011-06-30,14.58,$2.39,6.11
2011-03-31,14.87,$2.56,5.81
2010-12-31,15.62,$2.40,6.5
2010-09-30,14.15,$1.68,8.42
2010-06-30,12.96,$1.91,6.78
2010-03-31,14.39,$2.06,7.0
2009-12-31,12.7,$1.42,8.91
