KB Financial Group Inc Price to Free Cash Flow Ratio Historical Data,KB Financial Group Inc Price to Free Cash Flow Ratio Historical Data,KB Financial Group Inc Price to Free Cash Flow Ratio Historical Data,KB Financial Group Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,67.93,,4.13
2024-06-30,56.61,$16.43,3.44
2024-03-31,51.54,$30.88,1.67
2023-12-31,39.54,$7.42,5.33
2023-09-30,39.29,$28.19,1.39
2023-06-30,34.47,$26.29,1.31
2023-03-31,34.12,$9.02,3.78
2022-12-31,36.22,$10.78,3.36
2022-09-30,27.47,$-15.71,0.0
2022-06-30,33.51,$-14.53,0.0
2022-03-31,43.55,$-8.95,0.0
2021-12-31,40.84,$-14.77,0.0
2021-09-30,39.57,$-15.23,0.0
2021-06-30,42.03,$-17.68,0.0
2021-03-31,41.6,$-34.97,0.0
2020-12-31,33.33,$-27.89,0.0
2020-09-30,26.0,$-18.07,0.0
2020-06-30,22.52,$-21.53,0.0
2020-03-31,22.01,$4.32,5.1
2019-12-31,33.49,$19.34,1.73
2019-09-30,27.73,$20.38,1.36
2019-06-30,30.65,$19.87,1.54
2019-03-31,28.77,$7.60,3.79
2018-12-31,32.59,$-21.20,0.0
2018-09-30,36.04,$-19.32,0.0
2018-06-30,34.7,$-20.74,0.0
2018-03-31,43.25,$-24.06,0.0
2017-12-31,43.68,$-11.92,0.0
2017-09-30,35.51,$-18.54,0.0
2017-06-30,36.57,$-15.59,0.0
2017-03-31,31.85,$-0.58,0.0
2016-12-31,25.56,$1.57,16.28
2016-09-30,24.05,$6.31,3.81
2016-06-30,20.0,$9.83,2.03
2016-03-31,19.39,$8.92,2.18
2015-12-31,19.59,$4.34,4.52
2015-09-30,20.66,$7.14,2.9
2015-06-30,23.1,$0.05,443.45
2015-03-31,24.7,$0.50,49.49
2014-12-31,22.93,$8.93,2.57
2014-09-30,24.94,$-7.10,0.0
2014-06-30,23.93,$-6.46,0.0
2014-03-31,24.2,$-9.43,0.0
2013-12-31,27.89,$-15.48,0.0
2013-09-30,23.88,$7.87,3.03
2013-06-30,20.2,$10.12,2.0
2013-03-31,22.53,$8.78,2.57
2012-12-31,24.48,$18.09,1.35
2012-09-30,23.8,$9.55,2.49
2012-06-30,22.04,$8.29,2.66
2012-03-31,24.75,$4.54,5.45
2011-12-31,21.13,$-8.65,0.0
2011-09-30,21.76,$-16.26,0.0
2011-06-30,31.74,$-13.54,0.0
2011-03-31,34.65,$-11.53,0.0
2010-12-31,35.12,$-4.37,0.0
2010-09-30,28.43,$-1.86,0.0
2010-06-30,25.13,$-1.70,0.0
2010-03-31,31.8,$-1.70,0.0
2009-12-31,33.72,$-1.74,0.0
