Envista Holdings Price to Free Cash Flow Ratio Historical Data,Envista Holdings Price to Free Cash Flow Ratio Historical Data,Envista Holdings Price to Free Cash Flow Ratio Historical Data,Envista Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.27,,10.46
2024-06-30,16.63,$1.75,9.52
2024-03-31,21.38,$1.59,13.45
2023-12-31,24.06,$1.34,17.96
2023-09-30,27.88,$1.24,22.46
2023-06-30,33.84,$0.92,36.78
2023-03-31,40.88,$0.63,64.83
2022-12-31,33.67,$0.62,54.21
2022-09-30,32.81,$0.81,40.72
2022-06-30,38.54,$1.15,33.55
2022-03-31,48.71,$1.66,29.42
2021-12-31,45.06,$1.79,25.13
2021-09-30,41.81,$2.20,18.97
2021-06-30,43.21,$2.58,16.77
2021-03-31,40.8,$2.00,20.44
2020-12-31,33.73,$1.47,22.92
2020-09-30,24.68,$1.55,15.96
2020-06-30,21.09,$1.86,11.34
