AutoNation Price to Free Cash Flow Ratio Historical Data,AutoNation Price to Free Cash Flow Ratio Historical Data,AutoNation Price to Free Cash Flow Ratio Historical Data,AutoNation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,169.04,,100.45
2024-06-30,159.38,$1.68,94.71
2024-03-31,165.58,$3.20,51.79
2023-12-31,150.18,$7.16,20.97
2023-09-30,151.4,$13.26,11.42
2023-06-30,164.61,$18.17,9.06
2023-03-31,134.36,$23.36,5.75
2022-12-31,107.3,$24.02,4.47
2022-09-30,101.87,$21.12,4.82
2022-06-30,111.76,$21.75,5.14
2022-03-31,99.58,$22.92,4.35
2021-12-31,116.85,$19.32,6.05
2021-09-30,121.76,$19.99,6.09
2021-06-30,94.81,$12.94,7.33
2021-03-31,93.22,$17.01,5.48
2020-12-31,69.79,$12.04,5.8
2020-09-30,52.93,$12.49,4.24
2020-06-30,37.58,$11.90,3.16
2020-03-31,28.06,$4.59,6.12
2019-12-31,48.63,$5.98,8.13
2019-09-30,50.7,$3.74,13.57
2019-06-30,41.94,$3.61,11.63
2019-03-31,35.72,$2.61,13.7
2018-12-31,35.7,$1.45,24.62
2018-09-30,41.55,$3.24,12.83
2018-06-30,48.58,$3.10,15.65
2018-03-31,46.78,$2.67,17.55
2017-12-31,51.33,$2.54,20.21
2017-09-30,47.46,$2.17,21.82
2017-06-30,42.16,$2.27,18.56
2017-03-31,42.29,$2.31,18.28
2016-12-31,48.65,$2.68,18.15
2016-09-30,48.71,$2.53,19.26
2016-06-30,46.98,$2.54,18.48
2016-03-31,46.68,$2.52,18.51
2015-12-31,59.66,$2.39,24.96
2015-09-30,58.18,$2.54,22.92
2015-06-30,62.98,$2.39,26.3
2015-03-31,64.33,$2.15,29.86
2014-12-31,60.41,$2.36,25.56
2014-09-30,50.31,$2.27,22.12
2014-06-30,59.68,$1.52,39.3
2014-03-31,53.23,$2.09,25.46
2013-12-31,49.69,$2.33,21.35
2013-09-30,52.17,$2.19,23.82
2013-06-30,43.39,$2.54,17.05
2013-03-31,43.75,$2.24,19.55
2012-12-31,39.7,$1.12,35.47
2012-09-30,43.67,$1.80,24.25
2012-06-30,35.28,$1.40,25.27
2012-03-31,34.31,$1.17,29.3
2011-12-31,36.87,$1.54,23.93
2011-09-30,32.78,$1.12,29.35
2011-06-30,36.61,$0.50,73.53
2011-03-31,35.37,$1.17,30.26
2010-12-31,28.2,$0.65,43.63
2010-09-30,23.25,$0.75,31.2
2010-06-30,19.5,$1.15,16.92
2010-03-31,18.08,$1.46,12.35
2009-12-31,19.15,$1.74,11.01
