MGP Ingredients Price to Free Cash Flow Ratio Historical Data,MGP Ingredients Price to Free Cash Flow Ratio Historical Data,MGP Ingredients Price to Free Cash Flow Ratio Historical Data,MGP Ingredients Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,81.57,,52.27
2024-06-30,74.3,$1.56,47.61
2024-03-31,85.88,$1.69,50.95
2023-12-31,98.1,$1.29,76.28
2023-09-30,104.89,$0.33,314.14
2023-06-30,105.58,$0.40,265.74
2023-03-31,95.97,$0.94,101.84
2022-12-31,105.42,$1.98,53.31
2022-09-30,105.1,$2.38,44.1
2022-06-30,98.99,$1.78,55.69
2022-03-31,84.54,$2.21,38.28
2021-12-31,83.82,$1.97,42.49
2021-09-30,64.1,$2.69,23.79
2021-06-30,66.47,$3.69,18.02
2021-03-31,58.02,$2.72,21.31
2020-12-31,46.08,$2.15,21.41
2020-09-30,38.8,$1.04,37.32
2020-06-30,35.72,$0.15,235.0
2020-03-31,26.08,$0.34,76.41
2019-12-31,46.75,$0.18,265.76
2019-09-30,47.83,$1.28,37.24
2019-06-30,63.71,$0.66,96.27
2019-03-31,74.01,$0.06,1180.42
2018-12-31,54.73,$0.14,379.01
2018-09-30,75.68,$-0.45,0.0
2018-06-30,85.01,$-0.01,0.0
2018-03-31,85.68,$0.82,104.26
2017-12-31,73.45,$0.74,99.07
2017-09-30,57.89,$0.93,62.5
2017-06-30,48.15,$0.59,81.87
2017-03-31,51.0,$0.02,2439.99
2016-12-31,46.96,$0.18,259.86
2016-09-30,38.05,$-0.85,0.0
2016-06-30,35.88,$-1.10,0.0
2016-03-31,22.75,$-1.04,0.0
2015-12-31,24.27,$-0.69,0.0
2015-09-30,14.98,$-0.13,0.0
2015-06-30,15.73,$0.61,25.69
2015-03-31,12.59,$0.74,17.05
2014-12-31,14.78,$0.51,28.85
2014-09-30,12.18,$0.85,14.39
2014-06-30,7.42,$0.60,12.44
2014-03-31,6.29,$0.38,16.43
2013-12-31,4.8,$0.65,7.38
2013-09-30,4.84,$0.08,60.0
2013-06-30,5.51,$-0.08,0.0
2013-03-31,4.02,$-0.00,0.0
2012-12-31,3.13,$-0.65,0.0
2012-09-30,3.49,$-0.21,0.0
2012-06-30,2.94,$-0.92,0.0
2012-03-31,4.92,$-0.87,0.0
2011-12-31,4.57,$-0.65,0.0
2011-09-30,4.6,$-0.98,0.0
2011-06-30,7.83,$-0.59,0.0
2011-03-31,7.84,$-2.19,0.0
2010-12-31,9.93,$-0.29,0.0
2010-09-30,7.06,$0.49,14.33
2010-06-30,5.92,$1.21,4.91
2010-03-31,6.86,$2.78,2.47
2009-12-31,6.83,$1.21,5.65
