Privia Health Price to Free Cash Flow Ratio Historical Data,Privia Health Price to Free Cash Flow Ratio Historical Data,Privia Health Price to Free Cash Flow Ratio Historical Data,Privia Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,18.44,,26.19
2024-06-30,17.38,$0.70,24.69
2024-03-31,19.59,$-0.04,0.0
2023-12-31,23.03,$0.50,45.77
2023-09-30,23.0,$0.12,198.28
2023-06-30,26.11,$0.00,0.0
2022-12-31,22.71,$0.43,53.39
2022-09-30,34.06,$0.04,834.8
2022-06-30,29.12,$0.50,57.98
2022-03-31,26.73,$0.59,45.49
2021-12-31,25.87,$0.53,48.86
