Labcorp Price to Free Cash Flow Ratio Historical Data,Labcorp Price to Free Cash Flow Ratio Historical Data,Labcorp Price to Free Cash Flow Ratio Historical Data,Labcorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,229.89,,23.2
2024-06-30,203.51,$9.91,20.54
2024-03-31,218.46,$7.57,28.86
2023-12-31,226.53,$9.99,22.69
2023-09-30,199.69,$11.26,17.73
2023-06-30,238.89,$12.60,18.97
2023-03-31,226.35,$14.61,15.49
2022-12-31,231.64,$16.68,13.89
2022-09-30,200.88,$17.52,11.47
2022-06-30,229.21,$21.01,10.91
2022-03-31,257.1,$20.21,12.72
2021-12-31,306.39,$28.47,10.76
2021-09-30,274.44,$29.00,9.46
2021-06-30,268.99,$29.28,9.19
2021-03-31,248.69,$28.06,8.86
2020-12-31,198.49,$18.32,10.83
2020-09-30,183.59,$15.48,11.86
2020-06-30,161.98,$12.06,13.44
2020-03-31,123.25,$10.98,11.22
2019-12-31,164.96,$10.67,15.46
2019-09-30,163.82,$9.75,16.81
2019-06-30,168.6,$8.02,21.03
2019-03-31,149.17,$9.23,16.16
2018-12-31,123.22,$9.51,12.96
2018-09-30,169.36,$10.50,16.14
2018-06-30,175.06,$11.60,15.09
2018-03-31,157.73,$11.02,14.32
2017-12-31,155.54,$11.46,13.57
2017-09-30,147.21,$10.81,13.62
2017-06-30,150.31,$9.46,15.89
2017-03-31,139.9,$10.01,13.97
2016-12-31,125.19,$9.10,13.76
2016-09-30,134.06,$8.28,16.19
2016-06-30,127.03,$8.66,14.66
2016-03-31,114.22,$9.08,12.58
2015-12-31,120.56,$7.23,16.68
2015-09-30,105.77,$6.10,17.33
2015-06-30,118.2,$5.39,21.91
2015-03-31,122.95,$3.94,31.23
2014-12-31,105.22,$6.21,16.93
2014-09-30,99.22,$6.29,15.79
2014-06-30,99.85,$6.95,14.37
2014-03-31,95.77,$6.06,15.8
2013-12-31,89.1,$6.73,13.24
2013-09-30,96.67,$6.66,14.51
2013-06-30,97.61,$7.86,12.42
2013-03-31,87.96,$8.55,10.29
2012-12-31,84.47,$9.35,9.04
2012-09-30,90.17,$8.75,10.3
2012-03-31,89.26,$6.85,13.02
2011-12-31,83.83,$7.01,11.96
2011-09-30,77.08,$6.64,11.6
2011-06-30,94.38,$6.71,14.07
2011-03-31,89.84,$7.07,12.7
2010-12-31,85.73,$7.23,11.85
2010-09-30,76.48,$6.84,11.18
2010-06-30,73.48,$7.50,9.8
2010-03-31,73.83,$7.19,10.27
2009-12-31,72.98,$6.86,10.64
2009-09-30,64.07,$8.39,7.63
