Nuvalent Price to Free Cash Flow Ratio Historical Data,Nuvalent Price to Free Cash Flow Ratio Historical Data,Nuvalent Price to Free Cash Flow Ratio Historical Data,Nuvalent Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,102.16,,0.0
2024-06-30,75.86,$-2.09,0.0
2024-03-31,75.09,$-1.85,0.0
2023-12-31,73.59,$-1.71,0.0
2023-09-30,45.97,$-1.55,0.0
2023-06-30,42.17,$-1.53,0.0
2023-03-31,26.09,$-1.46,0.0
2022-12-31,29.78,$-1.31,0.0
2022-09-30,19.44,$-1.97,0.0
2022-06-30,13.56,$-2.44,0.0
