BancFirst Price to Free Cash Flow Ratio Historical Data,BancFirst Price to Free Cash Flow Ratio Historical Data,BancFirst Price to Free Cash Flow Ratio Historical Data,BancFirst Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,115.62,,15.85
2024-06-30,87.32,$7.30,11.97
2024-03-31,87.22,$6.12,14.25
2023-12-31,95.96,$6.29,15.27
2023-09-30,85.14,$6.42,13.25
2023-06-30,89.88,$6.42,14.01
2023-03-31,80.83,$6.31,12.81
2022-12-31,85.35,$6.17,13.82
2022-09-30,86.21,$5.50,15.68
2022-06-30,91.81,$4.86,18.88
2022-03-31,79.52,$5.17,15.38
2021-12-31,67.14,$5.30,12.66
2021-09-30,56.92,$5.47,10.41
2021-06-30,58.76,$4.75,12.37
2021-03-31,66.17,$3.78,17.51
2020-12-31,54.69,$2.66,20.54
2020-09-30,37.83,$3.08,12.3
2020-06-30,37.27,$3.76,9.9
2020-03-31,30.4,$3.78,8.05
2019-12-31,56.36,$3.96,14.24
2019-09-30,49.77,$3.59,13.87
2019-06-30,49.7,$3.16,15.72
2019-03-31,46.31,$2.96,15.66
2018-12-31,44.06,$2.64,16.71
2018-09-30,52.62,$2.64,19.94
2018-06-30,51.7,$2.62,19.74
2018-03-31,46.21,$2.51,18.38
2017-12-31,44.34,$2.82,15.74
2017-09-30,48.99,$2.53,19.36
2017-06-30,41.55,$2.78,14.97
2017-03-31,38.51,$2.58,14.95
2016-12-31,39.69,$2.50,15.85
2016-09-30,30.81,$2.54,12.14
2016-06-30,25.49,$2.47,10.33
2016-03-31,23.95,$2.32,10.31
2015-12-31,24.46,$2.11,11.62
2015-09-30,26.18,$2.00,13.12
2015-06-30,27.0,$2.09,12.93
2015-03-31,25.03,$2.12,11.82
2014-12-31,25.87,$2.07,12.49
2014-09-30,25.4,$1.77,14.34
2014-06-30,25.0,$1.71,14.59
2014-03-31,22.76,$1.96,11.58
2013-12-31,22.4,$2.06,10.85
2013-09-30,21.49,$2.18,9.84
2013-06-30,18.4,$1.94,9.48
2013-03-31,16.38,$1.84,8.9
2012-12-31,16.52,$1.52,10.89
2012-09-30,16.64,$1.43,11.63
2012-06-30,16.13,$1.36,11.9
2012-03-31,16.55,$1.06,15.6
2011-12-31,14.26,$1.48,9.64
2011-09-30,12.51,$6.36,1.97
2011-06-30,14.43,$6.32,2.28
2011-03-31,15.86,$5.80,2.73
2010-12-31,15.21,$3.94,3.86
2010-09-30,14.86,$-2.38,0.0
2010-06-30,13.32,$-2.33,0.0
2010-03-31,15.2,$-1.53,0.0
2009-12-31,13.36,$-0.17,0.0
