Primerica Price to Free Cash Flow Ratio Historical Data,Primerica Price to Free Cash Flow Ratio Historical Data,Primerica Price to Free Cash Flow Ratio Historical Data,Primerica Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,281.0,,13.52
2024-06-30,235.76,$20.78,11.34
2024-03-31,251.26,$19.51,12.88
2023-12-31,203.76,$18.28,11.15
2023-09-30,191.52,$17.38,11.02
2023-06-30,194.6,$17.90,10.87
2023-03-31,168.89,$18.52,9.12
2022-12-31,138.53,$19.21,7.21
2022-09-30,120.13,$19.57,6.14
2022-06-30,115.99,$18.93,6.13
2022-03-31,131.99,$18.44,7.16
2021-12-31,147.26,$15.95,9.24
2021-09-30,147.16,$16.14,9.12
2021-06-30,146.23,$14.57,10.04
2021-03-31,140.73,$15.14,9.3
2020-12-31,127.09,$15.32,8.29
2020-09-30,107.04,$13.32,8.03
2020-06-30,109.97,$14.28,7.7
2020-03-31,83.14,$12.43,6.69
2019-12-31,122.31,$10.87,11.25
2019-09-30,118.89,$11.43,10.4
2019-06-30,111.76,$11.05,10.12
2019-03-31,113.5,$10.97,10.35
2018-12-31,90.53,$10.56,8.57
2018-09-30,111.46,$10.27,10.85
2018-06-30,91.89,$9.44,9.73
2018-03-31,88.9,$8.28,10.74
2017-12-31,93.22,$8.42,11.07
2017-09-30,74.71,$7.06,10.58
2017-06-30,69.22,$6.40,10.82
2017-03-31,74.93,$6.48,11.56
2016-12-31,62.89,$5.92,10.63
2016-09-30,48.1,$5.65,8.52
2016-06-30,51.75,$5.51,9.4
2016-03-31,40.13,$4.44,9.04
2015-12-31,42.4,$5.04,8.4
2015-09-30,40.33,$4.61,8.74
2015-06-30,40.74,$4.53,9.0
2015-03-31,45.23,$4.72,9.57
2014-12-31,48.07,$4.21,11.42
2014-09-30,42.62,$3.87,11.0
2014-06-30,42.19,$3.47,12.17
2014-03-31,41.42,$2.60,15.95
2013-12-31,37.63,$2.89,13.0
2013-09-30,35.28,$1.54,22.97
2013-06-30,32.65,$2.26,14.44
2013-03-31,28.5,$2.85,10.01
2012-12-31,26.0,$1.82,14.31
2012-09-30,24.73,$2.56,9.68
2012-06-30,23.03,$1.42,16.27
2012-03-31,21.67,$1.02,21.2
2011-12-31,19.96,$1.14,17.46
2011-09-30,18.49,$0.54,34.5
2011-06-30,18.81,$-0.28,0.0
2011-03-31,21.81,$0.60,36.11
