HighPeak Energy Price to Free Cash Flow Ratio Historical Data,HighPeak Energy Price to Free Cash Flow Ratio Historical Data,HighPeak Energy Price to Free Cash Flow Ratio Historical Data,HighPeak Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.37,,14.05
2024-06-30,14.06,$1.02,13.75
2024-03-31,15.77,$-0.37,0.0
2023-12-31,14.24,$-2.18,0.0
2023-09-30,16.88,$-3.92,0.0
2023-06-30,10.88,$-5.50,0.0
2023-03-31,23.0,$-7.65,0.0
2022-12-31,22.87,$-7.26,0.0
2022-09-30,21.66,$-6.15,0.0
2022-06-30,25.59,$-5.55,0.0
2022-03-31,22.16,$-2.39,0.0
2021-12-31,14.59,$-1.48,0.0
2021-09-30,8.95,$-2.53,0.0
2021-06-30,10.08,$-1.76,0.0
2021-03-31,5.96,$-1.64,0.0
2020-12-31,15.74,$-0.58,0.0
2018-12-31,9.7,$-0.02,0.0
2018-09-30,9.57,$-0.01,0.0
2018-06-30,9.5,$-0.00,0.0
2020-09-30,6.95,$-0.71,0.0
2020-06-30,10.36,$0.03,343.0
2020-03-31,10.24,$0.01,0.0
2019-12-31,10.22,0,0.0
