Central Garden & Pet Price to Free Cash Flow Ratio Historical Data,Central Garden & Pet Price to Free Cash Flow Ratio Historical Data,Central Garden & Pet Price to Free Cash Flow Ratio Historical Data,Central Garden & Pet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.22,,7.86
2024-06-30,38.5,$4.48,8.6
2024-03-31,42.83,$5.11,8.39
2023-12-31,40.09,$4.94,8.11
2023-09-30,35.31,$4.91,7.2
2023-06-30,31.02,$3.27,9.49
2023-03-31,32.85,$0.98,33.37
2022-12-31,29.96,$-5.90,0.0
2022-09-30,28.83,$-3.94,0.0
2022-06-30,33.94,$-0.43,0.0
2022-03-31,35.17,$-4.34,0.0
2021-09-30,38.4,$2.47,15.55
2021-06-30,42.34,$6.68,6.34
2021-03-31,46.41,$1.00,46.32
2020-12-31,30.89,$5.04,6.13
2020-09-30,31.94,$4.56,7.01
2021-12-31,42.1,$-0.78,0.0
2020-06-30,28.79,$2.33,12.34
2020-03-31,22.0,$2.07,10.65
2019-12-31,24.86,$2.01,12.34
2019-09-30,23.38,$2.41,9.71
2019-06-30,21.56,$2.28,9.47
2019-03-31,20.45,$1.55,13.21
2018-12-31,27.56,$1.62,17.0
2018-09-30,28.83,$1.14,25.21
2018-06-30,34.78,$0.98,35.46
2018-03-31,34.4,$1.41,24.46
2017-12-31,31.14,$1.12,27.77
2017-09-30,31.07,$1.21,25.74
2017-06-30,25.43,$0.99,25.74
2017-03-31,29.66,$1.12,26.57
2016-12-31,26.47,$1.69,15.67
2016-09-30,20.8,$2.00,10.4
2016-06-30,18.26,$1.53,11.95
2016-03-31,13.07,$1.82,7.19
2015-12-31,10.82,$-0.95,0.0
2015-09-30,12.38,$0.09,143.57
2015-06-30,8.45,$1.77,4.79
2015-03-31,7.9,$-2.18,0.0
2014-09-30,6.2,$1.91,3.24
2014-06-30,7.28,$-0.11,0.0
2014-03-31,6.5,$-2.03,0.0
2013-12-31,5.5,$1.05,5.22
2013-09-30,5.63,$-1.68,0.0
2014-12-31,7.02,$-1.20,0.0
2013-06-30,5.68,$-1.19,0.0
2013-03-31,6.9,$-0.27,0.0
2012-12-31,8.02,$0.31,25.63
2012-09-30,9.51,$0.82,11.6
2012-06-30,8.3,$1.21,6.87
2012-03-31,7.53,$0.08,95.17
2011-12-31,6.53,$0.19,34.89
2011-09-30,5.52,$0.27,20.1
2011-06-30,8.3,$0.11,76.82
2011-03-31,7.05,$-0.05,0.0
2010-12-31,7.87,$0.86,9.18
2010-09-30,8.28,$1.36,6.07
2010-06-30,7.61,$1.88,4.05
2010-03-31,7.9,$2.52,3.13
2009-12-31,8.56,$2.86,2.99
