DAQO New Energy Price to Free Cash Flow Ratio Historical Data,DAQO New Energy Price to Free Cash Flow Ratio Historical Data,DAQO New Energy Price to Free Cash Flow Ratio Historical Data,DAQO New Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.89,,0.0
2024-06-30,14.6,$-5.81,0.0
2024-03-31,28.15,$-4.49,0.0
2023-12-31,26.6,$6.74,3.95
2023-09-30,30.27,$14.32,2.11
2023-06-30,39.7,$18.35,2.16
2023-03-31,46.84,$14.47,3.24
2022-12-31,38.61,$10.50,3.68
2022-09-30,53.08,$21.01,2.53
2021-12-31,40.32,$1.83,22.03
2021-09-30,57.0,$9.85,5.78
2021-06-30,65.02,$7.16,9.08
2021-03-31,75.5,$2.11,35.71
2020-12-31,57.36,$1.22,47.06
2020-09-30,27.05,$-0.17,0.0
2020-06-30,14.85,$-0.44,0.0
2020-03-31,11.58,$-1.03,0.0
2019-12-31,10.24,$-1.40,0.0
2019-09-30,9.22,$-1.92,0.0
2019-06-30,8.47,$-2.10,0.0
2019-03-31,6.61,$-1.12,0.0
2018-12-31,4.68,$-0.73,0.0
2018-09-30,5.22,$-0.17,0.0
2018-06-30,7.11,$0.91,7.78
2018-03-31,9.79,$1.46,6.7
2017-12-31,11.89,$1.44,8.25
2017-09-30,5.8,$1.87,3.11
2017-06-30,4.15,$0.90,4.59
2017-03-31,3.75,$0.72,5.19
2016-12-31,3.86,$0.59,6.55
2016-09-30,4.24,$-0.16,0.0
2016-06-30,4.51,$0.35,12.93
2016-03-31,3.72,$0.32,11.72
2015-12-31,3.33,$-0.29,0.0
2015-09-30,3.2,$-0.96,0.0
2015-06-30,4.71,$-0.87,0.0
2015-03-31,5.3,$-1.71,0.0
2014-12-31,5.27,$-1.28,0.0
2014-03-31,8.57,$-1.11,0.0
2013-12-31,7.26,$-1.52,0.0
2013-09-30,5.29,$-4.12,0.0
2013-03-31,1.39,$-4.05,0.0
2012-12-31,1.59,$-3.22,0.0
2012-09-30,0.77,$-3.12,0.0
2011-06-30,7.84,0,0.0
2011-03-31,12.88,0,0.0
2010-12-31,10.16,$-5.38,0.0
2012-06-30,0.85,$-5.91,0.0
2012-03-31,2.11,$-6.11,0.0
2011-12-31,1.67,$-7.61,0.0
2014-09-30,8.56,$-0.54,0.0
2011-09-30,3.5,$14.71,0.24
