Blue Owl Capital Price to Free Cash Flow Ratio Historical Data,Blue Owl Capital Price to Free Cash Flow Ratio Historical Data,Blue Owl Capital Price to Free Cash Flow Ratio Historical Data,Blue Owl Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,15.13,,19.02
2024-06-30,15.36,$0.80,19.31
2024-03-31,15.38,$3.93,3.91
2023-12-31,14.76,$2.91,5.07
2023-09-30,13.85,$2.09,6.62
2023-06-30,13.42,$1.75,7.65
2023-03-31,12.61,$0.70,17.91
2022-12-31,11.55,$0.55,20.95
2022-09-30,10.37,$-0.64,0.0
2022-06-30,11.97,$-1.47,0.0
2022-03-31,14.0,$-2.59,0.0
2021-12-31,13.14,$-3.13,0.0
2021-09-30,12.82,$-3.99,0.0
2021-06-30,12.67,$-5.00,0.0
2021-03-31,11.97,$-3.64,0.0
2020-12-31,10.77,$-4.01,0.0
2020-09-30,9.94,$-4.40,0.0
2020-06-30,9.85,$-8.27,0.0
