Baytex Energy Corp Price to Free Cash Flow Ratio Historical Data,Baytex Energy Corp Price to Free Cash Flow Ratio Historical Data,Baytex Energy Corp Price to Free Cash Flow Ratio Historical Data,Baytex Energy Corp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,2.93,,5.39
2024-06-30,3.45,$0.54,6.36
2024-03-31,3.59,$0.43,8.4
2023-12-31,3.26,$0.42,7.76
2023-09-30,4.31,$0.27,16.03
2023-06-30,3.18,$0.46,6.87
2023-03-31,3.65,$0.79,4.62
2022-12-31,0.51,$0.92,0.55
2022-09-30,0.51,$0.89,0.57
2022-06-30,0.51,$0.78,0.66
2022-03-31,0.51,$0.57,0.89
2021-12-31,0.51,$0.56,0.9
2021-09-30,0.51,$0.29,1.77
2021-06-30,0.51,$0.28,1.82
2021-03-31,0.51,$0.14,3.64
2020-12-31,0.51,$0.09,5.42
2020-09-30,0.34,$0.24,1.43
2020-06-30,0.49,$0.21,2.31
2020-03-31,0.23,$0.38,0.6
2019-12-31,1.41,$0.38,3.73
2019-09-30,1.44,$0.24,6.1
2019-06-30,1.5,$0.20,7.62
2019-03-31,1.65,$-0.01,0.0
2018-12-31,1.71,$-0.02,0.0
2018-09-30,2.83,$0.08,35.48
2018-06-30,3.24,$0.07,43.89
2018-03-31,2.67,$0.05,52.54
2017-12-31,2.92,$-0.20,0.0
2017-09-30,2.93,$-0.36,0.0
2017-06-30,2.37,$0.02,154.71
2017-03-31,3.33,$0.12,27.46
2016-12-31,4.75,$0.32,14.71
2016-09-30,4.14,$-0.08,0.0
2016-06-30,5.64,$-0.37,0.0
2016-03-31,3.87,$-0.25,0.0
2015-12-31,3.16,$0.12,25.89
2015-09-30,3.12,$1.25,2.5
2015-06-30,14.86,$1.90,7.84
2015-03-31,14.86,$1.76,8.45
2014-12-31,15.39,$1.08,14.26
2014-09-30,34.39,$1.18,29.02
2014-06-30,41.27,$1.07,38.61
2014-03-31,36.25,$0.89,40.68
2013-12-31,33.97,$1.00,33.9
2013-09-30,35.06,$2.55,13.75
2013-06-30,30.14,$2.11,14.26
2013-03-31,34.48,$2.31,14.95
2012-12-31,35.03,$2.63,13.31
2012-09-30,37.86,$0.92,41.22
2012-06-30,33.12,$0.60,55.61
2012-03-31,40.21,$1.20,33.51
2011-12-31,42.83,$1.09,39.41
2011-09-30,31.57,$0.96,32.85
2011-06-30,40.73,$1.66,24.53
2011-03-31,43.04,$1.26,34.11
2010-12-31,34.13,$1.71,19.98
2010-09-30,26.13,$1.46,17.89
2010-06-30,21.21,$0.40,52.53
2010-03-31,23.65,$0.54,43.6
2009-12-31,19.28,$0.05,409.24
