Flywire Price to Free Cash Flow Ratio Historical Data,Flywire Price to Free Cash Flow Ratio Historical Data,Flywire Price to Free Cash Flow Ratio Historical Data,Flywire Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,17.05,,40.62
2024-06-30,16.39,$0.42,39.05
2024-03-31,24.81,$0.53,46.38
2023-12-31,23.15,$0.65,35.63
2023-09-30,31.89,$0.42,76.73
2023-06-30,31.04,$0.01,2333.83
2023-03-31,29.36,$-0.05,0.0
2022-12-31,24.47,$-0.02,0.0
2022-09-30,22.96,$-0.32,0.0
2022-06-30,17.63,$0.18,97.51
2022-03-31,30.58,$-0.03,0.0
