Enpro Price to Free Cash Flow Ratio Historical Data,Enpro Price to Free Cash Flow Ratio Historical Data,Enpro Price to Free Cash Flow Ratio Historical Data,Enpro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,158.17,,23.23
2024-06-30,145.28,$6.81,21.33
2024-03-31,168.43,$7.20,23.41
2023-12-31,156.11,$8.31,18.79
2023-09-30,120.43,$5.20,23.14
2023-06-30,132.41,$4.15,31.87
2023-03-31,102.73,$3.53,29.13
2022-12-31,107.19,$3.67,29.21
2022-09-30,83.6,$6.88,12.14
2022-06-30,80.36,$5.63,14.29
2022-03-31,95.58,$5.74,16.66
2021-12-31,107.36,$5.25,20.45
2021-09-30,84.75,$2.83,29.93
2021-06-30,94.21,$2.53,37.28
2021-03-31,82.45,$2.32,35.55
2020-12-31,72.79,$1.40,51.99
2020-09-30,54.17,$3.35,16.19
2020-06-30,47.13,$5.31,8.87
2020-03-31,37.63,$5.27,7.14
2019-12-31,63.27,$5.25,12.05
2019-09-30,64.69,$6.95,9.31
2019-06-30,59.9,$5.95,10.07
2019-03-31,60.23,$11.29,5.33
2018-12-31,56.16,$9.92,5.66
2018-09-30,68.15,$5.14,13.25
2018-06-30,65.16,$4.84,13.45
2018-03-31,71.84,$0.07,1062.77
2017-12-31,86.54,$0.25,349.38
2017-09-30,74.34,$3.84,19.36
2017-06-30,65.68,$2.69,24.42
2017-03-31,65.27,$1.34,48.85
2016-12-31,61.58,$1.16,53.21
2016-09-30,51.77,$0.87,59.79
2016-06-30,40.29,$1.92,21.04
2016-03-31,52.13,$1.71,30.52
2015-12-31,39.48,$2.00,19.7
2015-09-30,35.14,$0.88,39.92
2015-06-30,51.1,$-0.45,0.0
2015-03-31,58.71,$-0.74,0.0
2014-12-31,55.7,$-0.78,0.0
2014-09-30,53.72,$-0.56,0.0
2014-06-30,64.93,$0.67,96.5
2014-03-31,64.5,$-3.68,0.0
2013-12-31,51.17,$-0.22,0.0
2013-09-30,53.44,$0.78,68.16
2013-06-30,45.05,$-0.54,0.0
2012-12-31,36.3,$3.58,10.14
2012-09-30,31.96,$5.08,6.29
2012-06-30,33.17,$1.81,18.32
2012-03-31,36.48,$2.75,13.26
2011-12-31,29.27,$3.75,7.8
2013-03-31,45.42,$-0.67,0.0
2011-09-30,26.34,$1.05,25.1
2011-06-30,42.66,$1.80,23.7
2011-03-31,32.24,$0.07,462.49
2010-12-31,36.89,$0.56,65.82
2010-09-30,27.76,$1.67,16.58
2010-06-30,24.98,$1.13,22.19
2010-03-31,25.81,$1.84,14.05
2009-12-31,23.44,$1.85,12.7
