Omnicell Price to Free Cash Flow Ratio Historical Data,Omnicell Price to Free Cash Flow Ratio Historical Data,Omnicell Price to Free Cash Flow Ratio Historical Data,Omnicell Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,41.43,,11.38
2024-06-30,27.07,$3.64,7.43
2024-03-31,29.23,$3.93,7.45
2023-12-31,37.63,$3.09,12.19
2023-09-30,45.04,$3.91,11.51
2023-06-30,73.67,$3.07,23.98
2023-03-31,58.67,$1.29,45.43
2022-12-31,50.42,$0.66,76.5
2022-09-30,87.03,$0.20,424.74
2022-06-30,113.75,$0.72,159.09
2022-03-31,129.49,$2.53,51.21
2021-12-31,180.44,$4.23,42.65
2021-09-30,148.43,$4.81,30.86
2021-06-30,151.45,$4.84,31.3
2021-03-31,129.87,$4.35,29.86
2020-12-31,120.02,$3.73,32.2
2020-09-30,74.66,$2.85,26.2
2020-06-30,70.62,$3.37,20.97
2020-03-31,65.58,$3.00,21.84
2019-12-31,81.72,$3.01,27.18
2019-09-30,72.27,$3.33,21.68
2019-06-30,86.03,$2.37,36.31
2019-03-31,80.84,$2.25,35.99
2018-12-31,61.24,$1.98,30.94
2018-09-30,71.9,$0.87,82.86
2018-06-30,52.45,$0.04,1202.98
2018-03-31,43.4,$-0.21,0.0
2017-12-31,48.5,$0.25,197.8
2017-09-30,51.05,$0.85,60.34
2017-06-30,43.1,$1.53,28.17
2017-03-31,40.65,$1.19,34.14
2016-12-31,33.9,$0.99,34.28
2016-09-30,38.3,$1.28,29.95
2016-06-30,34.23,$0.97,35.17
2016-03-31,27.87,$1.06,26.27
2015-12-31,31.08,$0.84,36.88
2015-09-30,31.1,$0.79,39.19
2015-06-30,37.71,$1.13,33.27
2015-03-31,35.1,$1.77,19.81
2014-12-31,33.12,$1.45,22.78
2014-09-30,27.33,$0.95,28.88
2014-06-30,28.71,$1.26,22.87
2014-03-31,28.62,$1.14,25.18
2013-12-31,25.53,$1.20,21.28
2013-09-30,23.68,$1.10,21.61
2013-06-30,20.55,$0.72,28.41
2013-03-31,18.88,$0.57,33.38
2012-12-31,14.87,$0.71,20.88
2012-09-30,13.9,$0.96,14.5
2012-06-30,14.64,$1.02,14.42
2012-03-31,15.21,$0.81,18.74
2011-12-31,16.52,$0.66,24.97
2011-09-30,13.78,$0.46,29.68
2011-06-30,15.59,$0.18,87.88
2011-03-31,15.24,$0.22,70.36
2010-12-31,14.45,$0.41,35.33
2010-09-30,13.08,$0.82,16.04
2010-06-30,11.69,$1.50,7.79
2010-03-31,14.03,$1.65,8.52
2009-12-31,11.69,$1.33,8.79
