Cintas Price to Free Cash Flow Ratio Historical Data,Cintas Price to Free Cash Flow Ratio Historical Data,Cintas Price to Free Cash Flow Ratio Historical Data,Cintas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,805.12,,49.82
2024-05-31,676.6,$16.16,41.87
2024-02-29,626.11,$14.78,42.36
2023-11-30,549.83,$12.80,42.95
2023-08-31,499.82,$12.27,40.74
2023-05-31,466.79,$12.25,38.1
2023-02-28,432.46,$12.45,34.74
2022-11-30,454.27,$12.44,36.52
2022-08-31,399.19,$3.05,130.97
2022-05-31,389.8,$4.69,83.17
2022-02-28,366.36,$3.15,116.43
2021-11-30,411.06,$1.94,211.36
2021-05-31,342.64,$11.60,29.55
2021-02-28,313.67,$15.63,20.06
2020-11-30,342.86,$14.81,23.15
2020-08-31,318.28,$15.57,20.44
2020-05-31,236.83,$15.11,15.67
2021-08-31,384.5,$9.21,41.77
2020-02-29,254.76,$10.02,25.41
2019-11-30,245.52,$9.52,25.79
2019-08-31,249.53,$8.35,29.9
2019-05-31,209.83,$7.25,28.92
2019-02-28,195.42,$6.37,30.69
2018-11-30,177.24,$5.94,29.82
2018-08-31,199.57,$5.43,36.76
2018-05-31,170.46,$6.31,27.03
2018-02-28,159.62,$6.31,25.28
2017-11-30,147.25,$5.44,27.09
2017-08-31,124.88,$5.58,22.37
2017-05-31,116.44,$4.55,25.58
2017-02-28,109.16,$3.37,32.39
2016-11-30,106.01,$1.79,59.13
2016-08-31,107.31,$1.75,61.22
2016-05-31,86.57,$1.73,49.98
2016-02-29,76.7,$2.08,36.82
2015-11-30,83.64,$2.87,29.12
2015-08-31,76.73,$3.12,24.57
2015-05-31,77.72,$3.08,25.2
2015-02-28,75.37,$3.36,22.42
2014-11-30,66.04,$4.10,16.12
2014-08-31,58.3,$1.60,36.37
2014-05-31,54.76,$2.04,26.91
2014-02-28,53.47,$1.22,44.0
2013-11-30,48.92,$0.83,59.17
2013-05-31,39.67,$2.86,13.87
2013-02-28,38.15,$2.66,14.32
2012-11-30,36.01,$2.66,13.51
2012-08-31,34.59,$2.66,13.01
2012-05-31,31.58,$2.38,13.29
2012-02-29,33.0,$2.09,15.79
2011-11-30,26.01,$1.68,15.52
2011-08-31,26.88,$1.26,21.38
2011-05-31,27.61,$1.08,25.57
2011-02-28,23.64,$1.13,20.83
2010-11-30,22.48,$1.51,14.9
2010-08-31,21.05,$2.10,10.01
2010-05-31,21.47,$2.97,7.22
2010-02-28,20.47,$3.31,6.18
2009-11-30,22.75,$3.62,6.29
2009-08-31,22.23,$3.16,7.03
