Range Resources Price to Free Cash Flow Ratio Historical Data,Range Resources Price to Free Cash Flow Ratio Historical Data,Range Resources Price to Free Cash Flow Ratio Historical Data,Range Resources Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,29.87,,31.96
2024-06-30,33.44,$0.93,35.77
2024-03-31,34.26,$0.88,39.09
2023-12-31,30.21,$1.55,19.53
2023-09-30,32.08,$3.26,9.86
2023-06-30,29.03,$4.84,6.0
2023-03-31,26.07,$5.75,4.53
2022-12-31,24.56,$5.59,4.4
2022-09-30,24.72,$4.49,5.51
2022-06-30,24.16,$3.26,7.41
2022-03-31,29.66,$2.75,10.79
2021-12-31,17.41,$1.50,11.6
2021-09-30,22.09,$0.58,38.17
2021-06-30,16.36,$-0.16,0.0
2021-03-31,10.09,$-0.63,0.0
2020-12-31,6.54,$-0.69,0.0
2020-09-30,6.46,$-0.78,0.0
2020-06-30,5.5,$-0.68,0.0
2020-03-31,2.23,$-0.52,0.0
2019-12-31,4.74,$-0.27,0.0
2019-09-30,3.71,$-0.06,0.0
2019-06-30,6.75,$0.32,21.22
2019-03-31,10.84,$-0.09,0.0
2018-12-31,9.22,$-0.13,0.0
2018-09-30,16.34,$-0.94,0.0
2018-06-30,16.07,$-1.53,0.0
2018-03-31,13.95,$-1.50,0.0
2017-12-31,16.34,$-1.61,0.0
2017-09-30,18.72,$-0.66,0.0
2017-06-30,22.14,$-0.51,0.0
2017-03-31,27.79,$-0.41,0.0
2016-12-31,32.78,$-0.66,0.0
2016-09-30,36.95,$-0.72,0.0
2016-06-30,41.12,$-0.94,0.0
2016-03-31,30.85,$-1.66,0.0
2015-12-31,23.43,$-2.52,0.0
2015-09-30,30.53,$-3.23,0.0
2015-06-30,46.88,$-3.51,0.0
2015-03-31,49.37,$-3.20,0.0
2014-12-31,50.66,$-2.74,0.0
2014-09-30,64.22,$-2.67,0.0
2014-06-30,82.3,$-2.66,0.0
2014-03-31,78.5,$-3.62,0.0
2013-12-31,79.73,$-3.43,0.0
2013-09-30,71.73,$-4.06,0.0
2013-06-30,73.05,$-4.60,0.0
2013-03-31,76.52,$-5.09,0.0
2012-12-31,59.3,$-6.53,0.0
2012-09-30,65.9,$-6.93,0.0
2012-06-30,58.32,$-7.66,0.0
2012-03-31,54.77,$-6.22,0.0
2011-12-31,58.31,$-5.06,0.0
2011-09-30,55.0,$-2.50,0.0
2011-06-30,52.18,$-2.47,0.0
2011-03-31,54.92,$-2.14,0.0
2010-12-31,42.22,$-1.48,0.0
2010-09-30,35.76,$-2.13,0.0
2010-06-30,37.61,$0.09,437.82
2010-03-31,43.87,$0.45,96.88
2009-12-31,46.62,$0.40,117.58
