KBR Price to Free Cash Flow Ratio Historical Data,KBR Price to Free Cash Flow Ratio Historical Data,KBR Price to Free Cash Flow Ratio Historical Data,KBR Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,69.43,,39.93
2024-06-30,63.98,$1.74,36.8
2024-03-31,63.36,$2.29,27.68
2023-12-31,55.01,$1.86,29.59
2023-09-30,58.37,$1.49,39.21
2023-06-30,64.29,$2.60,24.71
2023-03-31,54.28,$1.77,30.72
2022-12-31,51.93,$2.38,21.78
2022-09-30,42.41,$2.42,17.49
2022-06-30,47.37,$2.73,17.37
2022-03-31,53.44,$0.34,156.44
2021-12-31,46.39,$0.39,117.51
2021-09-30,38.29,$0.90,42.55
2021-06-30,36.97,$0.70,52.51
2020-12-31,29.8,$2.45,12.16
2020-09-30,21.47,$3.12,6.89
2020-06-30,21.56,$2.76,7.81
2020-03-31,19.7,$2.81,7.0
2019-12-31,28.89,$2.79,10.37
2021-03-31,36.99,$1.67,22.14
2019-09-30,23.18,$2.46,9.43
2019-06-30,23.49,$2.13,11.04
2019-03-31,17.92,$2.55,7.04
2018-12-31,14.19,$1.23,11.56
2018-09-30,19.65,$-0.19,0.0
2018-06-30,16.6,$-0.46,0.0
2018-03-31,14.93,$1.14,13.05
2017-12-31,18.2,$1.31,13.87
2017-09-30,16.34,$2.00,8.19
2017-06-30,13.85,$1.92,7.22
2017-03-31,13.6,$-0.30,0.0
2016-12-31,15.02,$0.35,42.65
2016-09-30,13.55,$0.42,31.98
2016-06-30,11.79,$0.97,12.15
2016-03-31,13.71,$0.84,16.33
2015-12-31,14.91,$0.26,58.04
2015-09-30,14.61,$-0.32,0.0
2015-06-30,17.01,$0.06,262.85
2015-03-31,12.59,$-1.42,0.0
2014-12-31,14.66,$0.64,22.94
2014-09-30,16.2,$1.90,8.54
2014-06-30,20.45,$0.67,30.66
2013-12-31,27.18,$1.47,18.49
2013-09-30,27.75,$1.68,16.48
2013-06-30,27.56,$0.38,73.23
2013-03-31,27.13,$0.69,39.12
2012-12-31,25.24,$1.69,14.92
2014-03-31,22.8,$-0.65,0.0
2012-09-30,25.12,$1.69,14.86
2012-06-30,20.78,$2.01,10.36
2012-03-31,29.83,$1.62,18.41
2011-12-31,23.36,$3.76,6.22
2011-09-30,19.76,$1.49,13.29
2011-06-30,31.47,$1.67,18.85
2011-03-31,31.49,$4.50,6.99
2010-12-31,25.37,$3.08,8.25
2010-09-30,20.48,$3.04,6.73
2010-06-30,16.87,$2.24,7.54
2010-03-31,18.34,$0.51,36.06
2009-12-31,15.69,$-0.48,0.0
