Valhi Price to Free Cash Flow Ratio Historical Data,Valhi Price to Free Cash Flow Ratio Historical Data,Valhi Price to Free Cash Flow Ratio Historical Data,Valhi Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,35.69,,16.73
2024-06-30,17.78,$2.13,8.33
2024-03-31,17.06,$1.65,10.37
2023-12-31,15.0,$-1.50,0.0
2023-09-30,13.02,$-2.13,0.0
2023-06-30,12.54,$-5.44,0.0
2023-03-31,16.89,$-4.81,0.0
2022-12-31,21.26,$-1.15,0.0
2022-09-30,24.22,$8.00,3.03
2022-06-30,43.55,$12.35,3.53
2022-03-31,28.11,$11.75,2.39
2021-12-31,27.49,$14.70,1.87
2021-09-30,22.24,$8.91,2.49
2021-06-30,23.11,$5.89,3.93
2021-03-31,19.43,$5.82,3.34
2020-12-31,14.34,$3.04,4.71
2020-09-30,12.35,$1.69,7.32
2020-06-30,9.78,$3.44,2.85
2020-03-31,11.45,$3.74,3.06
2019-12-31,20.47,$4.28,4.78
2019-09-30,20.57,$1.11,18.56
2019-06-30,31.83,$-0.83,0.0
2019-03-31,24.52,$-2.93,0.0
2018-12-31,20.38,$-1.22,0.0
2018-09-30,23.85,$3.99,5.98
2018-06-30,49.49,$4.52,10.95
2017-12-31,63.75,$6.60,9.66
2017-09-30,25.04,$4.53,5.53
2017-06-30,30.42,$2.78,10.96
2017-03-31,33.29,$2.81,11.86
2016-12-31,34.9,$2.51,13.92
2018-03-31,62.8,$1.80,34.88
2016-09-30,23.04,$-0.99,0.0
2016-06-30,15.61,$-1.39,0.0
2016-03-31,11.62,$-1.35,0.0
2015-12-31,13.03,$-1.14,0.0
2015-09-30,18.18,$0.89,20.38
2015-06-30,53.99,$-0.06,0.0
2015-03-31,59.24,$-0.81,0.0
2014-12-31,60.76,$-0.19,0.0
2014-09-30,61.69,$0.51,122.06
2014-06-30,60.5,$2.24,27.01
2014-03-31,82.82,$2.50,33.09
2013-12-31,164.32,$1.49,110.15
2013-09-30,185.92,$-0.46,0.0
2013-06-30,127.66,$1.67,76.4
2013-03-31,148.65,$2.37,62.64
2012-12-31,115.43,$-0.94,0.0
2012-09-30,112.19,$-0.11,0.0
2012-06-30,114.39,$0.40,286.98
2012-03-31,161.37,$0.65,246.89
2011-12-31,183.48,$5.13,35.76
2011-09-30,164.02,$6.09,26.92
2011-06-30,150.07,$4.00,37.5
2011-03-31,79.43,$2.87,27.72
2010-12-31,66.32,$2.71,24.45
2010-09-30,60.63,$1.80,33.69
2010-06-30,36.65,$-0.13,0.0
2010-03-31,58.05,$1.49,39.01
2009-12-31,40.99,$1.06,38.64
