Steven Madden Price to Free Cash Flow Ratio Historical Data,Steven Madden Price to Free Cash Flow Ratio Historical Data,Steven Madden Price to Free Cash Flow Ratio Historical Data,Steven Madden Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,48.61,,16.24
2024-06-30,42.11,$2.99,14.07
2024-03-31,41.89,$2.77,15.13
2023-12-31,41.4,$2.81,14.72
2023-09-30,31.16,$3.35,9.3
2023-06-30,31.86,$3.77,8.45
2023-03-31,34.86,$3.29,10.61
2022-12-31,30.77,$3.22,9.55
2022-09-30,25.51,$1.48,17.26
2022-06-30,30.59,$1.23,24.84
2022-03-31,36.48,$1.54,23.67
2021-12-31,43.64,$1.87,23.3
2021-09-30,37.59,$1.67,22.54
2021-06-30,40.8,$0.88,46.21
2021-03-31,34.62,$1.06,32.51
2020-12-31,32.7,$0.48,68.3
2020-09-30,18.05,$1.62,11.12
2020-06-30,22.86,$2.62,8.72
2020-03-31,21.5,$0.38,56.06
2019-12-31,39.54,$2.13,18.53
2019-09-30,32.79,$0.43,76.29
2019-06-30,30.98,$0.99,31.32
2018-12-31,27.38,$1.65,16.61
2018-09-30,21.17,$2.32,9.12
2018-06-30,21.17,$2.11,10.03
2018-03-31,17.44,$1.09,16.06
2017-12-31,18.47,$1.86,9.93
2019-03-31,30.74,$0.04,737.29
2017-09-30,17.13,$1.13,15.16
2017-06-30,15.8,$1.47,10.79
2017-03-31,15.25,$1.48,10.3
2016-12-31,14.14,$1.54,9.17
2016-09-30,13.67,$1.55,8.81
2016-06-30,13.52,$1.34,10.11
2016-03-31,14.65,$1.46,10.06
2015-12-31,11.95,$1.27,9.41
2015-09-30,14.48,$1.15,12.54
2015-06-30,16.92,$1.27,13.28
2015-03-31,15.03,$1.16,12.94
2014-12-31,12.59,$1.40,8.98
2014-09-30,12.75,$1.58,8.09
2014-06-30,13.57,$1.42,9.53
2014-03-31,14.23,$1.30,10.95
2013-12-31,14.47,$1.34,10.77
2013-09-30,14.19,$1.66,8.53
2013-06-30,12.76,$1.43,8.94
2013-03-31,11.4,$1.35,8.42
2012-12-31,11.15,$1.24,8.99
2012-09-30,11.53,$0.65,17.66
2012-06-30,8.37,$0.80,10.44
2012-03-31,11.27,$0.77,14.6
2011-12-31,9.1,$0.61,14.88
2011-09-30,7.94,$0.40,19.69
2011-06-30,9.89,$0.83,11.89
2011-03-31,8.25,$0.69,12.0
2010-12-31,7.33,$0.87,8.39
2010-09-30,7.22,$0.71,10.12
2010-06-30,5.54,$0.64,8.6
2010-03-31,5.72,$0.76,7.53
2009-12-31,4.83,$0.66,7.36
