Tyson Foods Price to Free Cash Flow Ratio Historical Data,Tyson Foods Price to Free Cash Flow Ratio Historical Data,Tyson Foods Price to Free Cash Flow Ratio Historical Data,Tyson Foods Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,64.31,,15.26
2024-06-30,56.71,$4.21,13.46
2024-03-31,58.29,$1.08,53.82
2023-09-30,49.15,$-0.66,0.0
2023-06-30,49.24,$-0.94,0.0
2023-03-31,56.69,$1.05,54.04
2022-12-31,59.01,$3.22,18.34
2022-09-30,62.05,$0.96,64.32
2023-12-31,52.87,$4.23,12.49
2022-06-30,80.5,$3.86,20.83
2022-03-31,83.41,$6.07,13.73
2021-12-31,80.71,$7.01,11.51
2021-09-30,72.68,$7.21,10.08
2021-06-30,67.53,$7.29,9.26
2021-03-31,67.64,$7.76,8.72
2020-12-31,58.28,$8.75,6.66
2020-09-30,53.43,$7.33,7.29
2020-06-30,53.28,$6.84,7.79
2020-03-31,51.29,$4.40,11.67
2019-12-31,80.2,$3.51,22.85
2019-09-30,75.53,$3.43,22.05
2019-06-30,70.51,$3.50,20.12
2019-03-31,60.34,$3.98,15.15
2018-12-31,46.13,$4.04,11.41
2018-09-30,51.42,$4.78,10.76
2018-06-30,59.19,$5.14,11.51
2018-03-31,62.64,$4.31,14.53
2017-12-31,69.11,$1.19,58.06
2017-09-30,59.89,$0.64,94.3
2017-06-30,53.05,$-0.11,0.0
2017-03-31,52.07,$-0.88,0.0
2016-09-30,62.54,$5.18,12.07
2016-06-30,55.83,$5.15,10.84
2016-03-31,55.59,$6.06,9.17
2015-12-31,44.37,$8.03,5.53
2015-09-30,35.75,$5.26,6.8
2016-12-31,51.86,$5.01,10.36
2015-06-30,35.28,$3.70,9.52
2015-03-31,31.62,$2.48,12.76
2014-12-31,33.02,$2.27,14.53
2014-09-30,32.35,$1.50,21.57
2014-06-30,30.79,$1.42,21.72
2014-03-31,36.03,$2.15,16.79
2013-12-31,27.34,$2.59,10.54
2013-09-30,23.05,$2.06,11.19
2013-06-30,20.9,$1.77,11.8
2013-03-31,20.16,$0.88,22.79
2012-12-31,15.72,$1.02,15.42
2012-09-30,12.88,$1.34,9.59
2012-06-30,15.1,$1.01,15.01
2012-03-31,15.32,$1.66,9.24
2011-12-31,16.48,$0.91,18.05
2011-09-30,13.84,$1.06,13.05
2011-06-30,15.44,$1.12,13.83
2011-03-31,15.23,$1.44,10.6
2010-12-31,13.63,$1.30,10.51
2010-09-30,12.65,$1.17,10.78
2010-06-30,12.91,$1.12,11.58
2010-03-31,15.05,$-0.56,0.0
2009-09-30,9.87,$1.59,6.2
