Exp World Holdings Price to Free Cash Flow Ratio Historical Data,Exp World Holdings Price to Free Cash Flow Ratio Historical Data,Exp World Holdings Price to Free Cash Flow Ratio Historical Data,Exp World Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.98,,10.98
2024-06-30,11.24,$1.18,9.51
2024-03-31,10.25,$1.34,7.62
2023-12-31,15.33,$1.31,11.68
2023-09-30,15.99,$1.20,13.28
2023-06-30,19.91,$1.15,17.28
2023-03-31,12.42,$0.88,14.15
2022-12-31,10.8,$1.21,8.95
2022-09-30,10.89,$1.34,8.11
2022-06-30,11.4,$1.44,7.89
2022-03-31,20.45,$1.66,12.3
2021-12-31,32.49,$1.46,22.19
2021-09-30,38.32,$1.31,29.17
2021-06-30,37.33,$1.41,26.57
2021-03-31,43.86,$1.05,41.8
2020-12-31,30.39,$0.68,44.83
2020-09-30,19.42,$0.68,28.72
2020-06-30,8.21,$0.51,15.99
2020-03-31,4.07,$0.46,8.84
2019-12-31,5.45,$0.40,13.72
2019-09-30,4.03,$0.27,14.83
2019-06-30,5.36,$0.22,24.72
2019-03-31,5.23,$0.18,28.77
