Driven Brands Holdings Price to Free Cash Flow Ratio Historical Data,Driven Brands Holdings Price to Free Cash Flow Ratio Historical Data,Driven Brands Holdings Price to Free Cash Flow Ratio Historical Data,Driven Brands Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.55,,0.0
2024-06-30,12.73,$-0.54,0.0
2024-03-31,15.79,$-1.23,0.0
2023-12-31,14.26,$-2.17,0.0
2023-09-30,12.59,$-2.32,0.0
2023-06-30,27.06,$-2.08,0.0
2023-03-31,30.31,$-1.73,0.0
2022-12-31,27.31,$-1.28,0.0
2022-09-30,27.98,$-0.52,0.0
2022-06-30,27.54,$-0.18,0.0
2022-03-31,26.28,$0.33,79.95
2021-12-31,33.62,$0.76,44.07
