Qualys Price to Free Cash Flow Ratio Historical Data,Qualys Price to Free Cash Flow Ratio Historical Data,Qualys Price to Free Cash Flow Ratio Historical Data,Qualys Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,124.43,,18.34
2024-06-30,142.6,$6.79,21.01
2024-03-31,166.87,$6.82,24.48
2023-12-31,196.28,$6.27,31.3
2023-09-30,152.55,$6.46,23.61
2023-06-30,129.17,$5.12,25.25
2023-03-31,130.02,$4.55,28.61
2022-12-31,112.23,$4.66,24.06
2022-09-30,139.39,$4.51,30.93
2022-06-30,126.14,$4.48,28.18
2022-03-31,142.41,$4.90,29.06
2021-12-31,137.22,$4.39,31.24
2021-09-30,111.29,$4.31,25.84
2021-06-30,100.69,$4.46,22.58
2021-03-31,104.78,$3.86,27.12
2020-12-31,121.87,$3.69,33.0
2020-09-30,98.01,$3.52,27.85
2020-06-30,104.02,$3.32,31.35
2020-03-31,86.99,$3.47,25.08
2019-12-31,83.37,$3.22,25.87
2019-09-30,75.57,$3.18,23.75
2019-06-30,87.08,$2.79,31.23
2019-03-31,82.74,$2.43,34.07
2018-12-31,74.74,$2.45,30.49
2018-09-30,89.1,$2.90,30.68
2018-06-30,84.3,$3.02,27.9
2018-03-31,72.75,$2.90,25.1
2017-12-31,59.35,$2.27,26.09
2017-03-31,37.9,$1.58,24.0
2016-12-31,31.65,$1.20,26.36
2016-09-30,38.19,$1.74,22.0
2016-06-30,29.81,$1.77,16.85
2016-03-31,25.31,$1.54,16.45
2015-12-31,33.09,$1.54,21.46
2015-06-30,40.35,$0.89,45.18
2015-03-31,46.48,$0.49,95.13
2014-12-31,37.75,$0.74,51.19
2014-09-30,26.6,$0.58,45.85
2014-06-30,25.67,$0.37,70.19
2014-03-31,25.43,$0.46,55.06
2013-12-31,23.11,$0.32,72.72
2013-09-30,21.39,$0.41,51.57
2013-06-30,16.12,$-0.80,0.0
2013-03-31,12.34,$-0.32,0.0
2012-12-31,14.79,$-0.33,0.0
2012-09-30,14.16,$0.10,146.58
