PPDAI Group Price to Free Cash Flow Ratio Historical Data,PPDAI Group Price to Free Cash Flow Ratio Historical Data,PPDAI Group Price to Free Cash Flow Ratio Historical Data,PPDAI Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,5.74,,12.3
2024-06-30,4.77,$0.47,10.22
2024-03-31,4.8,$0.20,24.12
2023-12-31,4.67,$0.44,10.63
2023-09-30,4.75,$0.80,5.96
2023-06-30,4.38,$0.86,5.1
2023-03-31,3.76,$0.47,8.05
2022-12-31,4.47,$0.11,41.54
2022-09-30,3.86,$0.07,52.66
2022-06-30,4.28,$-0.02,0.0
2022-03-31,3.4,$0.13,25.37
2021-12-31,4.22,$0.30,13.87
2021-09-30,4.83,$0.61,7.89
2021-06-30,8.15,$0.96,8.48
2021-03-31,5.85,$1.55,3.78
2020-12-31,2.23,$1.13,1.98
2020-09-30,1.54,$-0.55,0.0
2020-06-30,1.51,$-0.32,0.0
2020-03-31,1.39,$-0.62,0.0
2019-12-31,2.06,$-0.12,0.0
2019-09-30,2.26,$1.67,1.35
2019-06-30,3.39,$1.14,2.97
