Freedom Holding Price to Free Cash Flow Ratio Historical Data,Freedom Holding Price to Free Cash Flow Ratio Historical Data,Freedom Holding Price to Free Cash Flow Ratio Historical Data,Freedom Holding Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,105.37,,9.84
2024-06-30,75.4,$10.70,7.04
2024-03-31,70.57,$-18.67,0.0
2023-12-31,80.6,$-32.13,0.0
2023-09-30,84.71,$-39.05,0.0
2023-06-30,80.82,$-27.70,0.0
2023-03-31,71.86,$-16.64,0.0
2022-12-31,58.22,$-4.88,0.0
2022-09-30,49.11,$-7.96,0.0
2022-06-30,44.35,$-10.40,0.0
2022-03-31,59.6,$-6.94,0.0
2021-12-31,69.33,$-13.22,0.0
2021-09-30,62.79,$4.29,14.64
2021-06-30,65.15,$-3.84,0.0
2021-03-31,53.36,$9.03,5.91
2020-12-31,51.31,$12.17,4.22
2020-09-30,23.97,$6.43,3.73
