Sensient Technologies Price to Free Cash Flow Ratio Historical Data,Sensient Technologies Price to Free Cash Flow Ratio Historical Data,Sensient Technologies Price to Free Cash Flow Ratio Historical Data,Sensient Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,78.68,,29.82
2024-06-30,73.76,$2.64,27.95
2024-03-31,68.41,$2.63,25.98
2023-12-31,64.82,$1.94,33.46
2023-09-30,57.04,$0.20,279.6
2023-06-30,68.92,$-1.21,0.0
2023-03-31,73.78,$-1.87,0.0
2022-12-31,69.9,$-1.59,0.0
2022-09-30,66.07,$-0.73,0.0
2022-06-30,76.4,$0.26,292.17
2022-03-31,79.22,$1.33,59.68
2021-12-31,93.97,$2.00,47.03
2021-09-30,85.17,$3.22,26.42
2021-06-30,80.58,$3.41,23.66
2021-03-31,72.27,$3.63,19.9
2020-12-31,68.0,$3.93,17.28
2020-09-30,52.91,$3.44,15.39
2020-06-30,47.44,$3.89,12.19
2020-03-31,39.24,$3.56,11.03
2019-12-31,59.22,$3.26,18.14
2019-09-30,61.14,$3.77,16.23
2019-06-30,65.09,$3.41,19.11
2019-03-31,59.75,$1.82,32.82
2018-12-31,48.94,$0.77,63.46
2018-09-30,66.68,$-0.81,0.0
2018-06-30,62.06,$-1.25,0.0
2018-03-31,60.93,$-1.62,0.0
2017-12-31,62.85,$-0.46,0.0
2017-09-30,65.8,$-0.03,0.0
2017-06-30,68.61,$0.35,194.46
2017-03-31,67.27,$2.05,32.89
2016-12-31,66.44,$2.28,29.09
2016-09-30,63.83,$2.28,28.04
2016-06-30,59.6,$1.69,35.32
2016-03-31,53.02,$1.39,38.08
2015-12-31,52.24,$1.04,50.18
2015-09-30,50.77,$1.43,35.39
2015-06-30,56.38,$2.32,24.32
2015-03-31,56.61,$1.64,34.44
2014-12-31,49.39,$1.46,33.86
2014-09-30,42.67,$1.37,31.15
2014-06-30,45.21,$0.72,62.83
2013-12-31,39.0,$0.99,39.49
2013-09-30,38.32,$1.42,26.93
2013-06-30,32.21,$1.01,31.88
2013-03-31,30.93,$1.27,24.29
2012-12-31,27.98,$1.37,20.46
2014-03-31,45.56,$0.60,76.37
2012-09-30,28.74,$0.66,43.56
2012-06-30,28.54,$0.58,49.36
2012-03-31,29.35,$0.89,33.01
2011-12-31,29.12,$1.42,20.57
2011-09-30,24.87,$1.71,14.57
2011-06-30,28.14,$1.99,14.17
2011-03-31,27.05,$2.08,13.0
2010-12-31,27.55,$2.02,13.63
2010-09-30,22.74,$2.04,11.15
2010-06-30,19.21,$2.02,9.49
2010-03-31,21.39,$1.99,10.74
2009-12-31,19.21,$1.86,10.31
