Perrigo Price to Free Cash Flow Ratio Historical Data,Perrigo Price to Free Cash Flow Ratio Historical Data,Perrigo Price to Free Cash Flow Ratio Historical Data,Perrigo Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,24.98,,14.8
2024-06-30,25.44,$1.69,15.07
2024-03-31,31.89,$2.08,15.32
2023-12-31,31.58,$2.25,14.07
2023-09-30,31.08,$2.08,14.97
2023-06-30,32.77,$1.51,21.71
2023-03-31,34.33,$0.93,36.91
2022-12-31,32.38,$1.57,20.65
2022-09-30,33.6,$-0.72,0.0
2022-06-30,37.96,$1.44,26.32
2022-03-31,35.73,$-2.75,0.0
2021-12-31,35.9,$-3.03,0.0
2021-09-30,43.39,$-1.80,0.0
2021-06-30,41.79,$-2.13,0.0
2020-12-31,40.32,$3.40,11.88
2020-09-30,41.2,$5.23,7.88
2020-06-30,49.39,$4.76,10.38
2020-03-31,42.8,$3.60,11.89
2019-12-31,45.78,$2.81,16.27
2021-03-31,36.7,$1.18,30.98
2019-09-30,49.32,$2.58,19.13
2019-06-30,41.84,$2.71,15.45
2019-03-31,42.11,$2.96,14.22
2018-12-31,33.75,$3.55,9.52
2018-09-30,61.66,$3.76,16.42
2018-06-30,63.34,$4.14,15.28
2018-03-31,72.21,$4.20,17.18
2017-12-31,75.34,$4.28,17.6
2017-09-30,73.04,$4.30,16.98
2017-06-30,65.02,$4.36,14.93
2017-03-31,57.04,$4.58,12.44
2016-12-31,71.35,$3.83,18.63
2016-09-30,79.02,$0.05,1606.16
2016-06-30,77.47,$0.99,77.89
2016-03-31,109.15,$1.29,84.74
2015-12-31,123.31,$2.69,45.76
2015-09-30,133.91,$6.40,20.92
2015-03-31,140.78,$2.03,69.33
2014-12-31,142.03,$3.07,46.29
2014-09-30,127.53,$2.00,63.91
2014-06-30,123.68,$1.44,85.66
2014-03-31,131.13,$0.18,711.5
2013-12-31,130.03,$1.44,90.06
2013-09-30,104.48,$2.36,44.29
2013-06-30,102.39,$2.01,50.84
2013-03-31,100.4,$2.96,33.87
2012-12-31,87.89,$2.01,43.64
2012-09-30,98.06,$1.69,57.91
2012-06-30,99.47,$1.75,56.88
2012-03-31,87.08,$2.20,39.61
2011-12-31,81.95,$1.75,46.86
2011-09-30,81.71,$1.53,53.53
2011-06-30,73.88,$0.99,74.83
2011-03-31,66.81,$0.93,71.78
2010-12-31,53.15,$0.99,53.83
2010-09-30,53.84,$0.95,56.38
2010-06-30,49.47,$1.43,34.63
2010-03-31,49.12,$2.69,18.27
2009-12-31,33.28,$1.43,23.3
2009-09-30,28.35,$0.31,91.82
