Silvercorp Metals Price to Free Cash Flow Ratio Historical Data,Silvercorp Metals Price to Free Cash Flow Ratio Historical Data,Silvercorp Metals Price to Free Cash Flow Ratio Historical Data,Silvercorp Metals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.71,,21.9
2024-06-30,3.36,$0.22,15.62
2024-03-31,3.25,$0.16,20.08
2023-12-31,2.62,$0.17,15.16
2023-09-30,2.33,$0.19,12.37
2023-06-30,2.8,$0.13,22.03
2023-03-31,3.77,$0.17,21.85
2022-12-31,2.92,$0.19,15.01
2022-09-30,2.29,$0.20,11.61
2022-06-30,2.44,$0.28,8.67
2022-03-31,3.54,$0.30,11.83
2021-12-31,3.68,$0.26,14.13
2021-09-30,3.72,$0.15,24.97
2021-06-30,5.36,$0.25,21.05
2021-03-31,4.78,$0.24,20.34
2020-12-31,6.51,$0.27,24.17
2020-09-30,7.04,$0.41,17.35
2020-06-30,5.22,$0.31,17.02
2020-03-31,3.17,$0.28,11.47
2019-12-31,5.5,$0.27,20.58
2019-09-30,3.76,$0.24,15.68
2019-06-30,2.38,$0.22,10.81
2019-03-31,2.45,$0.21,11.58
2018-12-31,2.02,$0.20,9.89
2018-09-30,2.36,$0.27,8.85
2018-06-30,2.55,$0.26,9.66
2018-03-31,2.56,$0.24,10.74
2017-12-31,2.49,$0.24,10.5
2017-09-30,2.56,$0.19,13.5
2017-06-30,3.04,$0.23,13.47
2017-03-31,0.61,$0.24,2.52
2016-12-31,0.61,$0.19,3.23
2016-09-30,0.61,$0.13,4.71
2016-06-30,0.61,$0.02,36.1
2016-03-31,0.61,$-0.03,0.0
2015-12-31,0.61,$0.01,61.37
2015-09-30,0.61,$0.04,14.65
2015-06-30,1.02,$0.10,10.73
2015-03-31,1.11,$0.10,11.2
2014-12-31,1.22,$0.07,17.72
2014-09-30,1.49,$0.07,21.91
2014-06-30,1.98,$-0.07,0.0
2014-03-31,1.81,$-0.11,0.0
2013-12-31,2.12,$0.09,23.37
2013-09-30,3.03,$0.22,13.51
2013-06-30,2.62,$0.31,8.37
2013-03-31,3.65,$0.31,11.91
2012-12-31,4.75,$0.13,36.81
2012-09-30,6.01,$0.11,56.7
2012-06-30,5.13,$0.07,72.34
2012-03-31,6.39,$0.25,25.6
2011-12-31,5.94,$0.45,13.17
2011-09-30,7.34,$0.48,15.42
2011-06-30,8.7,$0.60,14.47
2011-03-31,13.51,$0.54,25.13
2010-12-31,11.9,$0.36,32.82
2010-09-30,7.68,$0.28,27.6
2010-06-30,6.14,$0.29,21.47
2010-03-31,6.38,$0.23,27.21
2009-12-31,6.12,$0.24,25.83
