Hyster-Yale Price to Free Cash Flow Ratio Historical Data,Hyster-Yale Price to Free Cash Flow Ratio Historical Data,Hyster-Yale Price to Free Cash Flow Ratio Historical Data,Hyster-Yale Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,67.63,,14.13
2024-06-30,69.34,$4.79,14.49
2024-03-31,63.82,$7.26,8.79
2023-12-31,61.51,$6.74,9.12
2023-09-30,43.79,$4.88,8.98
2023-06-30,54.46,$3.64,14.95
2023-03-31,48.33,$-1.83,0.0
2022-12-31,24.31,$0.78,31.37
2022-09-30,20.44,$-3.61,0.0
2022-06-30,30.28,$-11.45,0.0
2022-03-31,30.94,$-11.34,0.0
2021-12-31,37.94,$-17.46,0.0
2021-09-30,46.02,$-8.36,0.0
2021-06-30,66.46,$2.58,25.77
2021-03-31,79.0,$7.93,9.96
2020-12-31,53.8,$7.33,7.34
2020-09-30,33.37,$7.33,4.55
2020-06-30,34.46,$5.27,6.54
2020-03-31,35.42,$0.14,255.95
2019-12-31,51.75,$2.07,24.95
2019-09-30,47.79,$-4.81,0.0
2019-06-30,47.97,$-5.43,0.0
2019-03-31,53.75,$-1.03,0.0
2018-12-31,53.16,$2.09,25.44
2018-09-30,52.79,$3.90,13.54
2018-06-30,54.85,$2.26,24.25
2018-03-31,59.42,$3.05,19.51
2017-12-31,72.06,$7.57,9.52
2017-09-30,64.45,$3.07,20.96
2017-06-30,58.97,$4.70,12.56
2017-03-31,47.14,$2.09,22.61
2016-12-31,53.06,$-4.74,0.0
2016-09-30,49.81,$2.93,17.01
2016-06-30,49.0,$2.40,20.38
2016-03-31,54.59,$3.24,16.83
2015-12-31,42.78,$3.50,12.23
2015-09-30,46.94,$3.37,13.94
2015-06-30,55.98,$4.12,13.6
2015-03-31,58.99,$4.15,14.21
2014-12-31,58.68,$3.61,16.25
2014-09-30,57.21,$4.13,13.87
2014-06-30,70.47,$4.22,16.7
2014-03-31,77.35,$6.17,12.53
2013-12-31,73.72,$6.96,10.6
2013-09-30,70.75,$10.39,6.81
