Atlantic Union Bankshares Price to Free Cash Flow Ratio Historical Data,Atlantic Union Bankshares Price to Free Cash Flow Ratio Historical Data,Atlantic Union Bankshares Price to Free Cash Flow Ratio Historical Data,Atlantic Union Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,39.55,,9.88
2024-06-30,32.57,$4.00,8.14
2024-03-31,34.66,$-0.57,0.0
2023-12-31,35.52,$-0.14,0.0
2023-09-30,27.68,$0.84,33.11
2023-06-30,24.73,$0.36,68.37
2022-12-31,32.84,$5.57,5.9
2022-09-30,28.14,$5.79,4.86
2022-06-30,31.15,$5.42,5.75
2022-03-31,33.41,$4.92,6.79
2021-12-31,33.72,$4.51,7.48
2021-09-30,33.07,$3.71,8.9
2021-06-30,32.27,$3.56,9.06
2021-03-31,33.95,$3.67,9.24
2020-12-31,28.95,$3.45,8.39
2020-09-30,18.62,$3.48,5.34
2023-03-31,33.01,$3.39,9.75
2020-06-30,19.96,$3.52,5.68
2020-03-31,18.64,$2.84,6.57
2019-12-31,31.73,$2.38,13.33
2019-09-30,31.27,$2.46,12.71
2019-06-30,29.46,$2.90,10.16
2019-03-31,26.79,$3.02,8.88
2018-12-31,23.23,$3.41,6.81
2018-09-30,31.5,$2.50,12.58
2018-06-30,31.61,$2.15,14.67
2018-03-31,29.69,$1.78,16.73
2017-12-31,29.08,$2.31,12.6
2017-09-30,28.21,$2.49,11.34
2017-06-30,26.92,$2.02,13.35
2017-03-31,27.77,$2.60,10.68
2016-12-31,28.05,$1.99,14.07
2016-09-30,20.87,$2.19,9.53
2016-06-30,19.13,$2.51,7.63
2016-03-31,18.93,$2.44,7.77
2015-12-31,19.22,$2.36,8.13
2015-09-30,18.15,$2.06,8.83
2015-06-30,17.45,$2.46,7.09
2015-03-31,16.55,$1.97,8.4
2014-12-31,17.82,$2.60,6.84
2014-09-30,16.98,$2.89,5.87
2014-06-30,18.74,$4.57,4.11
2014-03-31,18.47,$7.12,2.59
2013-12-31,17.92,$5.85,3.07
2013-09-30,16.79,$3.78,4.44
2013-03-31,13.87,$0.67,20.66
2012-12-31,11.1,$-0.93,0.0
2012-09-30,10.86,$-1.76,0.0
2012-06-30,10.02,$0.48,20.97
2012-03-31,9.65,$1.27,7.62
2011-12-31,9.12,$0.95,9.61
2013-06-30,14.7,$3.59,4.09
2011-09-30,7.31,$3.53,2.07
2011-06-30,8.26,$3.37,2.45
2011-03-31,7.58,$2.47,3.07
2010-12-31,9.9,$1.72,5.74
2010-09-30,8.7,$-0.07,0.0
2010-06-30,8.13,$1.56,5.22
2010-03-31,9.98,$0.47,21.42
2009-12-31,8.15,$-0.34,0.0
