Crescent Energy Price to Free Cash Flow Ratio Historical Data,Crescent Energy Price to Free Cash Flow Ratio Historical Data,Crescent Energy Price to Free Cash Flow Ratio Historical Data,Crescent Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,12.64,,2.22
2024-06-30,11.85,$5.70,2.08
2024-03-31,11.9,$5.51,2.16
2023-12-31,13.21,$5.62,2.35
2023-09-30,12.64,$5.60,2.26
2023-06-30,10.42,$10.46,1.0
2023-03-31,11.31,$10.20,1.11
2022-12-31,11.99,$6.54,1.83
2022-09-30,13.47,$1.94,6.95
2022-06-30,12.36,$0.20,61.91
2022-03-31,17.0,$-1.87,0.0
2021-12-31,12.34,$1.53,8.08
2021-09-30,4.45,$0.59,7.57
2021-06-30,4.21,$0.07,62.58
2021-03-31,3.8,$0.07,51.23
2020-12-31,2.23,$0.00,0.0
2020-09-30,1.3,$0.47,2.79
2020-06-30,2.23,$-0.09,0.0
2020-03-31,1.46,$0.08,17.74
2019-12-31,3.57,0,0.0
2019-09-30,2.71,$-0.87,0.0
2019-06-30,1.69,$-0.46,0.0
2019-03-31,3.07,$-0.71,0.0
2018-12-31,3.16,$-0.28,0.0
2018-09-30,6.02,$-0.09,0.0
2018-06-30,5.53,$-0.37,0.0
2018-03-31,3.46,$-0.76,0.0
2017-12-31,4.58,$-1.25,0.0
2017-09-30,4.9,$-0.59,0.0
2017-06-30,6.46,$-0.41,0.0
2017-03-31,7.13,$0.17,41.35
2016-12-31,9.09,$0.57,15.95
2016-09-30,9.95,$0.07,136.09
2016-06-30,11.91,$0.05,255.68
2016-03-31,11.48,$-0.43,0.0
2015-12-31,6.24,$-2.79,0.0
2015-09-30,7.4,$-2.72,0.0
2015-06-30,11.94,$-1.96,0.0
2015-03-31,21.42,$-1.71,0.0
2014-12-31,28.46,$1.55,18.37
2014-09-30,32.36,$2.14,15.15
2014-06-30,41.18,$2.41,17.1
2014-03-31,46.47,$3.83,12.14
2013-12-31,46.0,$3.87,11.9
2013-09-30,35.77,$3.87,9.25
2013-06-30,32.85,$0.52,62.97
2013-03-31,39.02,$1.69,23.1
2012-09-30,45.45,$1.76,25.77
2012-06-30,54.76,$1.28,42.87
2012-03-31,54.49,$1.26,43.27
2011-12-31,53.82,$1.28,42.14
2011-09-30,50.61,$0.85,59.71
2011-06-30,54.06,$-2.82,0.0
2011-03-31,58.5,$3.26,17.94
2010-09-30,46.4,$2.53,18.33
2010-06-30,41.39,$3.00,13.81
2010-03-31,47.31,$3.75,12.6
2009-12-31,43.48,$3.00,14.5
2009-09-30,47.23,$-0.33,0.0
2009-06-30,39.3,$-1.43,0.0
