PennyMac Financial Services Price to Free Cash Flow Ratio Historical Data,PennyMac Financial Services Price to Free Cash Flow Ratio Historical Data,PennyMac Financial Services Price to Free Cash Flow Ratio Historical Data,PennyMac Financial Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,110.77,,0.0
2024-06-30,94.6,$-48.08,0.0
2024-03-31,91.09,$13.71,6.65
2023-12-31,88.37,$-30.69,0.0
2023-09-30,66.6,$-32.08,0.0
2023-06-30,70.31,$-21.28,0.0
2023-03-31,59.61,$-29.48,0.0
2022-12-31,56.66,$106.42,0.53
2022-09-30,42.9,$95.17,0.45
2022-06-30,43.56,$125.86,0.35
2022-03-31,52.79,$128.99,0.41
2021-12-31,69.01,$38.34,1.8
2021-09-30,60.27,$15.54,3.88
2021-06-30,60.67,$-63.48,0.0
2021-03-31,65.52,$-86.29,0.0
2020-12-31,64.1,$-79.15,0.0
2020-09-30,56.62,$-58.85,0.0
2020-06-30,40.59,$-12.54,0.0
2020-03-31,21.38,$-52.79,0.0
2019-12-31,32.81,$-37.24,0.0
2019-09-30,29.17,$-28.56,0.0
2019-06-30,21.3,$-17.95,0.0
2018-12-31,20.42,$15.70,1.3
2018-09-30,20.07,$-25.17,0.0
2018-06-30,18.52,$-28.58,0.0
2018-03-31,21.35,$-26.65,0.0
2017-12-31,21.07,$-42.95,0.0
2019-03-31,21.36,$-10.17,0.0
2017-09-30,16.78,$4.32,3.88
2017-06-30,15.74,$-10.98,0.0
2017-03-31,16.07,$-7.25,0.0
2016-12-31,15.69,$-12.64,0.0
2016-09-30,16.03,$-17.94,0.0
2016-06-30,11.77,$-6.68,0.0
2016-03-31,11.09,$-4.15,0.0
2015-12-31,14.48,$0.54,26.72
2015-09-30,15.08,$-5.40,0.0
2015-06-30,17.08,$-7.54,0.0
2015-03-31,16.0,$-7.64,0.0
2014-12-31,16.31,$-7.68,0.0
2014-09-30,13.81,$-9.63,0.0
2014-06-30,14.32,$-5.03,0.0
2014-03-31,15.69,$-3.66,0.0
