OSI Systems Price to Free Cash Flow Ratio Historical Data,OSI Systems Price to Free Cash Flow Ratio Historical Data,OSI Systems Price to Free Cash Flow Ratio Historical Data,OSI Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,148.77,,0.0
2024-06-30,137.52,$-6.29,0.0
2024-03-31,142.82,$-3.01,0.0
2023-12-31,129.05,$3.67,35.15
2023-09-30,118.04,$4.49,26.27
2023-06-30,117.83,$4.62,25.53
2023-03-31,102.36,$4.55,22.49
2022-12-31,79.52,$4.93,16.12
2022-09-30,72.06,$6.26,11.52
2022-06-30,85.44,$4.65,18.39
2022-03-31,85.12,$3.76,22.65
2021-12-31,93.2,$2.05,45.43
2021-09-30,94.8,$3.18,29.77
2021-06-30,101.64,$6.71,15.16
2021-03-31,96.1,$7.57,12.7
2020-12-31,93.22,$7.73,12.06
2020-09-30,77.61,$7.58,10.23
2020-06-30,74.64,$5.85,12.76
2020-03-31,68.92,$6.15,11.2
2019-12-31,100.74,$5.96,16.92
2019-09-30,101.56,$6.46,15.71
2019-06-30,112.63,$4.90,22.99
2019-03-31,87.6,$4.27,20.5
2018-12-31,73.3,$3.57,20.52
2018-09-30,76.31,$3.68,20.72
2018-06-30,77.33,$4.84,15.99
2018-03-31,65.27,$4.40,14.82
2017-12-31,64.38,$4.39,14.67
2017-09-30,91.37,$3.14,29.1
2017-06-30,75.15,$2.32,32.39
2017-03-31,72.99,$2.56,28.51
2016-12-31,76.12,$2.06,36.94
2016-09-30,65.38,$0.74,88.24
2016-06-30,58.13,$2.07,28.1
2016-03-31,65.49,$2.16,30.25
2015-12-31,88.66,$2.43,36.45
2015-09-30,76.96,$4.09,18.84
2015-06-30,70.79,$4.38,16.18
2015-03-31,74.26,$3.72,19.97
2014-12-31,70.77,$4.67,15.16
2014-09-30,63.48,$5.09,12.48
2014-06-30,66.75,$3.62,18.43
2014-03-31,59.86,$2.88,20.76
2013-12-31,53.11,$-0.52,0.0
2013-09-30,74.38,$-3.89,0.0
2013-06-30,64.42,$-4.80,0.0
2013-03-31,62.29,$-3.49,0.0
2012-12-31,64.04,$-0.27,0.0
2012-09-30,77.84,$1.23,63.19
2012-06-30,63.34,$2.56,24.73
2012-03-31,61.3,$2.55,24.02
2011-12-31,48.78,$0.77,63.18
2011-09-30,33.52,$1.31,25.56
2011-06-30,43.0,$1.37,31.43
2011-03-31,37.53,$1.26,29.77
2010-12-31,36.36,$2.11,17.2
2010-09-30,36.32,$2.25,16.13
2010-06-30,27.77,$2.13,13.06
2010-03-31,28.08,$2.59,10.83
2009-09-30,18.29,$2.55,7.18
