Price to Free Cash Flow Ratio Historical Data,Price to Free Cash Flow Ratio Historical Data,Price to Free Cash Flow Ratio Historical Data,Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,146.99,,3.35
2024-06-30,126.83,$43.85,2.89
2024-03-31,156.11,$49.94,3.13
2023-12-31,155.67,$34.36,4.53
2023-09-30,125.81,$59.02,2.13
2023-06-30,118.99,$42.40,2.81
2023-03-31,103.88,$55.17,1.88
2022-12-31,88.37,$74.36,1.19
2022-09-30,90.74,$65.23,1.39
2022-06-30,87.22,$60.44,1.44
2022-03-31,104.06,$28.21,3.69
2021-12-31,110.58,$40.24,2.75
2021-09-30,96.03,$52.28,1.84
2021-06-30,81.97,$48.11,1.7
2021-03-31,80.76,$58.82,1.37
2020-12-31,57.94,$-8.38,0.0
2020-09-30,48.54,$-9.71,0.0
2020-06-30,48.51,$-20.76,0.0
2020-03-31,40.96,$-33.98,0.0
2019-12-31,62.06,$-1.83,0.0
2019-09-30,61.22,$-17.67,0.0
2019-06-30,52.66,$-5.83,0.0
2019-03-31,55.72,$9.37,5.94
2018-12-31,46.08,$18.63,2.47
2018-09-30,52.98,$25.29,2.09
2018-06-30,64.32,$23.08,2.79
2018-03-31,64.0,$18.34,3.49
2017-12-31,56.95,$16.95,3.36
2017-09-30,58.41,$23.59,2.48
2017-06-30,49.44,$25.13,1.97
2017-03-31,43.18,$24.55,1.76
2016-12-31,47.1,$19.82,2.38
2016-09-30,36.14,$13.05,2.77
2016-06-30,27.46,$10.10,2.72
2016-03-31,28.37,$13.35,2.13
2015-12-31,20.2,$16.35,1.24
2015-09-30,19.97,$-132.60,0.0
2015-06-30,20.65,$-132.01,0.0
2015-03-31,18.26,$13.50,1.35
2014-12-31,16.57,$13.81,1.2
2014-09-30,17.6,$163.43,0.11
2014-06-30,18.19,$168.28,0.11
2014-03-31,19.19,$23.79,0.81
2013-12-31,20.34,$28.37,0.72
2013-09-30,21.14,$21.53,0.98
2013-06-30,15.56,$19.52,0.8
2013-03-31,16.58,$9.28,1.79
2012-12-31,17.27,$3.21,5.38
2012-09-30,13.78,$9.61,1.43
2012-06-30,13.31,$4.08,3.26
2012-03-31,11.67,$9.23,1.26
2011-12-31,7.54,$2.87,2.63
2011-09-30,7.73,$-20.17,0.0
2011-06-30,8.6,$-29.10,0.0
2011-03-31,7.66,$-42.92,0.0
2010-12-31,6.99,$-50.66,0.0
2010-09-30,4.77,$-27.58,0.0
2010-06-30,5.84,$-17.71,0.0
2010-03-31,4.77,$-0.22,0.0
2009-12-31,3.07,$11.16,0.27
