Safety Insurance Price to Free Cash Flow Ratio Historical Data,Safety Insurance Price to Free Cash Flow Ratio Historical Data,Safety Insurance Price to Free Cash Flow Ratio Historical Data,Safety Insurance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,84.29,,17.62
2024-06-30,74.25,$4.78,15.52
2024-03-31,80.39,$2.91,27.59
2023-12-31,73.52,$3.65,20.14
2023-09-30,65.21,$2.74,23.76
2023-06-30,67.7,$2.29,29.57
2023-03-31,69.49,$3.23,21.52
2022-12-31,77.7,$3.07,25.31
2022-09-30,74.48,$3.91,19.03
2022-06-30,87.8,$5.20,16.87
2022-03-31,81.36,$11.88,6.85
2021-12-31,75.33,$9.23,8.16
2021-09-30,69.4,$9.32,7.44
2021-06-30,67.8,$9.68,7.0
2021-03-31,72.21,$5.30,13.62
2020-12-31,66.04,$6.97,9.48
2020-09-30,57.84,$7.25,7.98
2020-06-30,63.06,$7.39,8.53
2020-03-31,69.0,$5.39,12.8
2019-12-31,74.77,$6.84,10.92
2019-09-30,81.13,$6.98,11.62
2019-06-30,75.46,$7.10,10.64
2019-03-31,68.52,$7.67,8.94
2018-12-31,63.76,$8.10,7.87
2018-09-30,69.2,$7.76,8.92
2018-06-30,65.41,$6.34,10.32
2018-03-31,58.32,$5.34,10.92
2017-12-31,60.34,$5.53,10.91
2017-09-30,56.71,$4.44,12.76
2017-06-30,50.2,$5.37,9.36
2017-03-31,50.98,$6.24,8.18
2016-12-31,53.08,$6.25,8.5
2016-09-30,47.94,$7.01,6.83
2016-06-30,43.46,$5.62,7.73
2016-03-31,39.8,$2.04,19.56
2015-12-31,38.84,$1.27,30.63
2015-09-30,36.84,$1.14,32.4
2015-06-30,38.75,$2.29,16.94
2015-03-31,39.63,$6.20,6.39
2014-12-31,41.95,$6.36,6.59
2014-09-30,34.93,$7.26,4.81
2014-06-30,32.87,$6.37,5.16
2014-03-31,34.06,$6.14,5.55
2013-12-31,35.23,$6.96,5.06
2013-09-30,32.79,$5.75,5.7
2013-06-30,29.68,$6.13,4.84
2013-03-31,29.74,$6.10,4.87
2012-12-31,27.58,$6.55,4.21
2012-09-30,27.05,$5.94,4.55
2012-06-30,23.64,$4.61,5.13
2012-03-31,23.93,$3.26,7.33
2011-12-31,22.99,$2.31,9.94
2011-09-30,21.22,$2.39,8.89
2011-06-30,23.29,$3.36,6.93
2011-03-31,25.26,$3.57,7.08
2010-12-31,25.88,$3.24,8.0
2010-09-30,22.55,$3.49,6.47
2010-06-30,19.62,$3.52,5.58
2010-03-31,19.75,$4.04,4.88
2009-12-31,18.79,$4.13,4.55
