Vertex Price to Free Cash Flow Ratio Historical Data,Vertex Price to Free Cash Flow Ratio Historical Data,Vertex Price to Free Cash Flow Ratio Historical Data,Vertex Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,42.7,,84.25
2024-06-30,36.05,$0.51,71.13
2024-03-31,31.76,$0.14,229.65
2023-12-31,26.94,$0.04,670.15
2023-09-30,23.1,$0.01,0.0
2023-06-30,19.5,$-0.06,0.0
2023-03-31,20.69,$0.05,431.94
2022-12-31,14.51,$0.02,633.62
2022-09-30,13.67,$0.04,328.61
2022-06-30,11.33,$0.15,73.29
2022-03-31,15.34,$0.29,52.11
2021-12-31,15.87,$0.32,49.98
2021-09-30,19.22,$0.37,51.35
2021-06-30,21.94,$0.24,92.22
