Tyra Biosciences Price to Free Cash Flow Ratio Historical Data,Tyra Biosciences Price to Free Cash Flow Ratio Historical Data,Tyra Biosciences Price to Free Cash Flow Ratio Historical Data,Tyra Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,25.98,,0.0
2024-06-30,15.99,$-1.29,0.0
2024-03-31,16.4,$-0.81,0.0
2023-12-31,13.85,$-1.19,0.0
2023-09-30,13.77,$-1.15,0.0
2023-06-30,17.03,$-1.04,0.0
2023-03-31,16.07,$-1.23,0.0
2022-12-31,7.6,$-1.21,0.0
2022-09-30,8.79,$-1.03,0.0
2022-06-30,7.15,$-2.41,0.0
