Natera Price to Free Cash Flow Ratio Historical Data,Natera Price to Free Cash Flow Ratio Historical Data,Natera Price to Free Cash Flow Ratio Historical Data,Natera Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,122.35,,0.0
2024-06-30,108.29,$-0.91,0.0
2024-03-31,91.46,$-1.61,0.0
2023-12-31,62.64,$-2.49,0.0
2023-09-30,44.25,$-2.79,0.0
2023-06-30,48.66,$-3.64,0.0
2023-03-31,55.52,$-4.09,0.0
2022-12-31,40.17,$-4.87,0.0
2022-09-30,43.82,$-5.23,0.0
2022-06-30,35.44,$-5.10,0.0
2022-03-31,40.68,$-4.78,0.0
2021-12-31,93.39,$-4.16,0.0
2021-09-30,111.44,$-3.90,0.0
2021-06-30,113.53,$-3.27,0.0
2021-03-31,101.54,$-2.93,0.0
2020-12-31,99.52,$-2.49,0.0
2020-09-30,72.24,$-1.76,0.0
2020-06-30,49.86,$-1.53,0.0
2020-03-31,29.86,$-1.01,0.0
2019-12-31,33.69,$-0.98,0.0
2019-09-30,32.8,$-1.03,0.0
2019-06-30,27.58,$-1.18,0.0
2019-03-31,20.62,$-1.81,0.0
2018-12-31,13.96,$-1.29,0.0
2018-09-30,23.94,$-1.52,0.0
2018-06-30,18.82,$-1.79,0.0
2018-03-31,9.27,$-1.42,0.0
2017-12-31,8.99,$-2.01,0.0
2017-09-30,12.89,$-2.23,0.0
2017-06-30,10.86,$-2.23,0.0
2017-03-31,8.87,$-2.41,0.0
2016-12-31,11.71,$-1.88,0.0
2016-09-30,11.11,$-1.98,0.0
2016-06-30,12.07,$-2.26,0.0
