Blue Bird Price to Free Cash Flow Ratio Historical Data,Blue Bird Price to Free Cash Flow Ratio Historical Data,Blue Bird Price to Free Cash Flow Ratio Historical Data,Blue Bird Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,45.38,,18.72
2024-06-30,53.85,$2.42,22.21
2024-03-31,38.34,$4.35,8.81
2023-12-31,26.96,$3.37,8.0
2023-09-30,21.35,$4.31,4.96
2023-06-30,22.48,$1.85,12.12
2022-12-31,10.71,$0.82,13.02
2022-09-30,8.35,$-1.00,0.0
2022-06-30,9.21,$-5.53,0.0
2022-03-31,18.82,$-2.02,0.0
2021-12-31,15.64,$-2.98,0.0
2021-09-30,20.86,$-1.87,0.0
2023-03-31,20.43,$1.27,16.12
2021-06-30,24.86,$2.08,11.98
2021-03-31,25.03,$1.08,23.15
2020-12-31,18.26,$2.48,7.37
2020-09-30,12.16,$-0.57,0.0
2020-06-30,14.99,$-0.91,0.0
2020-03-31,10.93,$0.29,37.74
2019-12-31,22.92,$-0.60,0.0
2019-09-30,19.04,$0.75,25.43
2019-06-30,19.69,$-0.98,0.0
2019-03-31,16.93,$0.30,55.99
2018-12-31,18.19,$-0.12,0.0
2018-09-30,24.5,$0.57,43.15
2018-06-30,22.35,$1.29,17.28
2018-03-31,23.7,$0.54,44.13
2017-12-31,19.9,$1.54,12.89
2017-09-30,20.6,$1.55,13.33
2017-06-30,17.0,$-0.02,0.0
2017-03-31,17.15,$0.96,17.77
2016-12-31,15.45,$1.24,12.45
2016-09-30,14.61,$0.73,20.06
2016-06-30,11.9,$2.79,4.26
2016-03-31,10.85,$1.93,5.61
2015-12-31,10.14,$0.09,112.79
2015-09-30,9.96,$0.71,13.97
2015-06-30,12.99,$-3.25,0.0
2015-03-31,10.25,$-3.99,0.0
2014-12-31,9.85,$-3.10,0.0
