F.N.B Price to Free Cash Flow Ratio Historical Data,F.N.B Price to Free Cash Flow Ratio Historical Data,F.N.B Price to Free Cash Flow Ratio Historical Data,F.N.B Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.84,,10.41
2024-06-30,13.57,$1.42,9.52
2024-03-31,13.98,$1.56,8.98
2023-12-31,13.54,$0.92,14.67
2023-09-30,10.51,$1.48,7.08
2023-06-30,11.03,$1.61,6.86
2023-03-31,11.06,$2.18,5.06
2022-12-31,12.34,$3.17,3.89
2022-09-30,10.88,$3.12,3.49
2022-06-30,10.08,$2.44,4.13
2022-03-31,11.44,$1.77,6.46
2021-12-31,11.05,$1.46,7.57
2021-09-30,10.48,$1.63,6.44
2021-06-30,11.0,$1.60,6.89
2021-03-31,11.23,$1.51,7.43
2020-12-31,8.32,$0.22,37.6
2020-09-30,5.86,$-0.02,0.0
2020-06-30,6.38,$0.44,14.59
2020-03-31,6.17,$-0.02,0.0
2019-12-31,10.51,$0.65,16.08
2019-09-30,9.45,$0.56,16.73
2019-06-30,9.53,$0.40,24.02
2019-03-31,8.49,$1.17,7.24
2018-12-31,7.81,$1.77,4.41
2018-09-30,10.0,$2.02,4.95
2018-06-30,10.45,$2.14,4.88
2018-03-31,10.38,$1.37,7.6
2017-12-31,10.58,$0.73,14.48
2017-09-30,10.65,$0.64,16.6
2017-06-30,10.65,$0.41,26.17
2017-03-31,11.08,$0.69,16.02
2016-12-31,11.85,$1.12,10.57
2016-09-30,9.02,$0.93,9.73
2016-06-30,9.11,$1.01,9.04
2016-03-31,9.37,$1.28,7.32
2015-12-31,9.51,$1.21,7.85
2015-09-30,9.16,$1.36,6.72
2015-06-30,10.03,$1.33,7.56
2015-03-31,9.13,$1.41,6.46
2014-12-31,9.17,$2.52,3.63
2014-09-30,8.17,$2.66,3.08
2014-06-30,8.65,$2.62,3.3
2014-03-31,8.96,$3.49,2.57
2013-12-31,8.35,$2.24,3.73
2013-09-30,7.95,$2.18,3.66
2013-06-30,7.84,$2.17,3.62
2013-03-31,7.78,$1.39,5.59
2012-12-31,6.75,$3.78,1.79
2012-09-30,7.05,$3.63,1.94
2012-06-30,6.76,$3.59,1.89
2012-03-31,7.43,$3.53,2.11
2011-12-31,6.89,$2.18,3.16
2011-09-30,5.16,$2.31,2.24
2011-06-30,6.15,$2.23,2.76
2011-03-31,6.19,$2.29,2.7
2010-12-31,5.7,$1.34,4.26
2010-09-30,4.9,$1.12,4.37
2010-06-30,4.53,$1.17,3.87
2010-03-31,4.51,$1.11,4.05
2009-12-31,3.71,$1.05,3.54
