Penske Automotive Price to Free Cash Flow Ratio Historical Data,Penske Automotive Price to Free Cash Flow Ratio Historical Data,Penske Automotive Price to Free Cash Flow Ratio Historical Data,Penske Automotive Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,158.43,,13.15
2024-06-30,148.06,$12.05,12.29
2024-03-31,159.97,$13.27,12.05
2023-12-31,157.6,$11.02,14.3
2023-09-30,163.16,$13.96,11.68
2023-06-30,162.04,$12.61,12.85
2023-03-31,137.25,$15.04,9.13
2022-12-31,110.75,$16.25,6.82
2022-09-30,94.38,$12.21,7.73
2022-06-30,99.92,$13.07,7.65
2022-03-31,89.04,$15.30,5.82
2021-12-31,101.4,$13.77,7.36
2021-09-30,94.74,$18.90,5.01
2021-06-30,70.73,$14.44,4.9
2021-03-31,74.8,$13.25,5.65
2020-12-31,55.0,$12.85,4.28
2020-09-30,43.82,$7.10,6.17
2020-06-30,35.59,$10.48,3.4
2020-03-31,25.74,$5.52,4.67
2019-12-31,45.81,$3.64,12.58
2019-09-30,42.78,$5.52,7.75
2019-06-30,42.42,$2.44,17.42
2019-03-31,39.69,$2.95,13.45
2018-12-31,35.52,$3.81,9.33
2018-09-30,41.41,$5.52,7.5
2018-06-30,40.65,$5.81,7.0
2018-03-31,38.19,$4.03,9.48
2017-12-31,40.93,$4.64,8.83
2017-09-30,40.4,$1.87,21.64
2017-06-30,37.01,$2.79,13.26
2017-03-31,39.17,$3.44,11.39
2016-12-31,43.13,$1.96,22.05
2016-09-30,39.82,$3.16,12.58
2016-06-30,25.82,$1.70,15.15
2016-03-31,30.87,$0.85,36.44
2015-12-31,34.19,$2.21,15.48
2015-09-30,38.92,$2.98,13.04
2015-06-30,41.68,$2.71,15.38
2015-03-31,41.0,$2.77,14.8
2014-12-31,38.91,$2.03,19.19
2014-09-30,32.04,$1.77,18.08
2014-06-30,38.91,$2.42,16.05
2014-03-31,33.47,$2.07,16.14
2013-12-31,36.75,$1.37,26.8
2013-09-30,33.16,$1.20,27.58
2013-06-30,23.6,$0.69,34.18
2013-03-31,25.66,$1.18,21.76
2012-12-31,23.04,$1.95,11.8
2012-09-30,22.94,$0.82,28.01
2012-06-30,16.11,$1.76,9.14
2012-03-31,18.61,$1.27,14.63
2011-12-31,14.48,$0.06,257.21
2011-09-30,11.98,$1.86,6.45
2011-06-30,16.95,$1.10,15.44
2011-03-31,14.88,$1.14,13.06
2010-12-31,12.94,$1.44,9.01
2010-09-30,9.81,$0.33,29.66
2010-06-30,8.44,$0.43,19.67
2010-03-31,10.72,$0.90,11.87
2009-12-31,11.28,$2.35,4.8
