Berry Global Price to Free Cash Flow Ratio Historical Data,Berry Global Price to Free Cash Flow Ratio Historical Data,Berry Global Price to Free Cash Flow Ratio Historical Data,Berry Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,69.94,,10.6
2024-06-30,58.61,$6.60,8.88
2024-03-31,60.24,$6.48,9.29
2023-12-31,66.8,$7.85,8.51
2023-09-30,61.12,$7.53,8.12
2023-06-30,63.27,$7.63,8.29
2023-03-31,57.67,$7.61,7.58
2022-12-31,58.93,$6.41,9.2
2022-09-30,45.18,$6.60,6.85
2022-06-30,53.06,$2.09,25.37
2022-03-31,56.28,$1.75,32.15
2021-12-31,71.65,$2.05,34.88
2021-09-30,59.12,$6.54,9.04
2021-06-30,63.33,$5.67,11.18
2021-03-31,59.62,$7.00,8.52
2020-12-31,54.57,$7.62,7.16
2020-09-30,46.92,$7.01,6.69
2020-06-30,43.04,$7.90,5.45
2020-03-31,32.74,$6.75,4.85
2019-12-31,46.12,$5.84,7.9
2019-09-30,38.13,$5.96,6.4
2019-06-30,51.07,$5.06,10.08
2019-03-31,52.31,$5.42,9.65
2018-12-31,46.16,$5.15,8.96
2018-09-30,46.99,$4.96,9.47
2018-06-30,44.61,$4.67,9.55
2018-03-31,53.23,$4.62,11.52
2017-12-31,56.97,$5.20,10.96
2017-09-30,55.01,$5.37,10.25
2017-06-30,55.36,$4.70,11.78
2017-03-31,47.17,$4.57,10.33
2016-12-31,47.32,$4.40,10.75
2016-09-30,42.58,$4.59,9.27
2016-06-30,37.73,$4.18,9.02
2016-03-31,35.1,$4.22,8.33
2015-12-31,35.13,$4.06,8.66
2015-09-30,29.2,$3.85,7.59
2015-06-30,31.46,$3.47,9.06
2015-03-31,35.14,$2.80,12.55
2014-12-31,30.64,$2.31,13.24
2014-09-30,24.51,$2.75,8.92
2014-06-30,25.05,$2.68,9.33
2014-03-31,22.48,$2.65,8.48
2013-12-31,23.1,$2.68,8.61
2013-09-30,19.39,$2.03,9.54
