Independent Bank Price to Free Cash Flow Ratio Historical Data,Independent Bank Price to Free Cash Flow Ratio Historical Data,Independent Bank Price to Free Cash Flow Ratio Historical Data,Independent Bank Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,61.48,,137.11
2024-06-30,45.19,$0.45,100.77
2024-03-31,44.86,$3.81,11.79
2023-12-31,49.61,$3.51,14.12
2023-09-30,38.15,$3.77,10.13
2023-06-30,33.02,$4.78,6.91
2023-03-31,43.8,$4.28,10.23
2022-12-31,56.44,$3.72,15.15
2022-09-30,57.32,$2.96,19.37
2022-06-30,63.07,$2.69,23.45
2022-03-31,65.74,$3.14,20.96
2021-12-31,66.33,$4.82,13.75
2021-09-30,64.99,$5.74,11.32
2021-06-30,67.35,$5.70,11.81
2021-03-31,65.49,$4.09,16.03
2020-12-31,56.44,$3.16,17.85
2020-09-30,39.66,$2.46,16.11
2020-06-30,36.18,$2.77,13.07
2020-03-31,20.97,$3.55,5.9
2019-12-31,48.88,$3.35,14.61
2019-09-30,46.17,$4.13,11.17
2019-06-30,48.0,$3.43,14.0
2019-03-31,44.8,$3.79,11.83
2018-12-31,39.79,$4.60,8.64
2018-09-30,57.5,$3.76,15.28
2018-06-30,57.82,$4.08,14.17
2018-03-31,61.08,$2.72,22.45
2017-12-31,58.3,$2.73,21.35
2017-09-30,51.92,$3.07,16.91
2017-06-30,51.15,$3.41,15.01
2017-03-31,55.19,$4.27,12.91
2016-12-31,53.47,$4.05,13.19
2016-09-30,37.77,$3.42,11.05
2016-06-30,36.62,$-0.07,0.0
2016-03-31,23.33,$3.11,7.49
2015-12-31,27.17,$1.99,13.64
2015-09-30,32.57,$2.41,13.5
2015-06-30,36.29,$5.35,6.79
2015-03-31,32.85,$1.55,21.16
2014-12-31,32.91,$2.01,16.38
2014-09-30,39.92,$1.62,24.61
2014-06-30,46.78,$1.59,29.34
2014-03-31,49.31,$2.76,17.85
