Realty Income Price to Free Cash Flow Ratio Historical Data,Realty Income Price to Free Cash Flow Ratio Historical Data,Realty Income Price to Free Cash Flow Ratio Historical Data,Realty Income Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-08-30,62.11,,0.0
2024-06-30,52.32,$-1.38,0.0
2024-03-31,53.33,$-5.48,0.0
2023-12-31,55.8,$-7.28,0.0
2023-09-30,47.83,$-11.69,0.0
2023-06-30,56.47,$-11.73,0.0
2023-03-31,59.06,$-9.66,0.0
2022-12-31,58.47,$-9.77,0.0
2022-09-30,53.02,$-9.14,0.0
2022-06-30,61.5,$-10.41,0.0
2022-03-31,61.76,$-11.04,0.0
2021-12-31,63.12,$-11.47,0.0
2021-09-30,56.59,$-8.48,0.0
2021-06-30,57.64,$-6.52,0.0
2021-03-31,54.28,$-4.36,0.0
2020-12-31,52.53,$-2.65,0.0
2020-09-30,50.73,$-4.83,0.0
2020-06-30,49.12,$-4.16,0.0
2020-03-31,40.66,$-6.96,0.0
2019-12-31,59.4,$-7.65,0.0
2019-09-30,61.31,$-3.80,0.0
2019-06-30,54.64,$-4.78,0.0
2019-03-31,57.71,$-2.36,0.0
2018-12-31,48.99,$-2.45,0.0
2018-09-30,43.89,$-2.81,0.0
2018-06-30,41.03,$-1.64,0.0
2018-03-31,38.96,$-1.94,0.0
2017-12-31,42.4,$-1.41,0.0
2017-09-30,42.04,$-2.78,0.0
2017-06-30,40.12,$-3.44,0.0
2017-03-31,42.8,$-3.36,0.0
2016-12-31,40.9,$-3.57,0.0
2016-09-30,47.12,$-1.44,0.0
2016-06-30,48.4,$-0.62,0.0
2016-03-31,43.2,$-2.52,0.0
2015-12-31,35.32,$-2.20,0.0
2015-09-30,32.06,$-2.40,0.0
2015-06-30,29.67,$-2.65,0.0
2015-03-31,34.06,$-0.79,0.0
2014-12-31,31.15,$-2.77,0.0
2014-09-30,26.33,$-2.86,0.0
2014-06-30,28.31,$-4.81,0.0
2014-03-31,25.71,$-6.90,0.0
2013-12-31,23.19,$-4.79,0.0
2013-09-30,24.35,$-6.69,0.0
2013-06-30,25.35,$-7.44,0.0
2013-03-31,27.1,$-5.81,0.0
2012-12-31,23.74,$-5.24,0.0
2012-09-30,23.86,$-4.10,0.0
2012-06-30,24.12,$-4.39,0.0
2012-03-31,22.11,$-3.99,0.0
2011-12-31,19.73,$-5.22,0.0
2011-09-30,17.89,$-7.53,0.0
2011-06-30,18.34,$-4.05,0.0
2011-03-31,18.91,$-5.46,0.0
2010-12-31,18.27,$-4.47,0.0
2010-09-30,17.79,$-1.13,0.0
2010-06-30,15.79,$-1.14,0.0
2010-03-31,15.77,$1.35,11.67
2009-12-31,13.12,$1.60,8.22
