First BanCorp Price to Free Cash Flow Ratio Historical Data,First BanCorp Price to Free Cash Flow Ratio Historical Data,First BanCorp Price to Free Cash Flow Ratio Historical Data,First BanCorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,21.45,,9.66
2024-06-30,18.15,$2.22,8.17
2024-03-31,17.41,$2.01,8.68
2023-12-31,16.17,$1.95,8.31
2023-09-30,13.11,$1.99,6.6
2023-06-30,11.78,$1.97,5.99
2023-03-31,10.88,$2.28,4.77
2022-12-31,12.0,$2.19,5.47
2022-09-30,12.8,$2.12,6.04
2022-06-30,11.99,$1.89,6.33
2022-03-31,12.08,$1.87,6.45
2021-12-31,12.59,$1.83,6.87
2021-09-30,11.94,$1.98,6.04
2021-06-30,10.76,$1.78,6.06
2021-03-31,10.11,$1.40,7.23
2020-12-31,8.22,$1.30,6.34
2020-09-30,4.63,$0.99,4.69
2020-06-30,4.91,$1.11,4.42
2020-03-31,4.64,$1.30,3.58
2019-12-31,9.17,$1.26,7.29
2019-09-30,8.6,$1.43,6.04
2019-06-30,9.49,$1.33,7.14
2019-03-31,9.82,$1.28,7.67
2018-12-31,7.35,$1.34,5.47
2018-09-30,7.78,$1.10,7.08
2018-06-30,6.54,$1.16,5.63
2018-03-31,5.14,$1.10,4.66
2017-12-31,4.36,$1.06,4.12
2017-09-30,4.38,$1.25,3.51
2017-06-30,4.95,$1.11,4.47
2017-03-31,4.83,$1.03,4.7
2016-12-31,5.65,$0.89,6.37
2016-09-30,4.44,$0.81,5.46
2016-06-30,3.39,$0.95,3.59
2016-03-31,2.5,$1.08,2.31
2015-12-31,2.78,$1.19,2.33
2015-09-30,3.04,$1.02,2.99
2015-06-30,4.12,$1.12,3.69
2015-03-31,5.3,$1.19,4.45
2014-12-31,5.02,$1.16,4.34
2014-09-30,4.06,$1.42,2.86
2014-06-30,4.65,$1.85,2.51
2014-03-31,4.65,$1.79,2.6
2013-12-31,5.29,$1.61,3.3
2013-09-30,4.85,$1.39,3.5
2013-06-30,6.05,$0.90,6.73
2013-03-31,5.32,$0.78,6.81
2012-12-31,3.91,$1.06,3.7
2012-09-30,3.78,$-3.22,0.0
2012-06-30,3.38,$-0.99,0.0
2012-03-31,3.76,$0.06,60.25
2011-12-31,2.98,$1.66,1.8
2011-09-30,2.39,$22.14,0.11
2011-06-30,3.68,$6.43,0.57
2011-03-31,4.27,$7.66,0.56
2010-12-31,5.9,$18.14,0.33
2010-09-30,3.59,$8.37,0.43
2010-06-30,6.79,$31.25,0.22
2010-03-31,30.89,$35.63,0.87
2009-12-31,29.48,$32.91,0.9
