Six Flags Entertainment Price to Free Cash Flow Ratio Historical Data,Six Flags Entertainment Price to Free Cash Flow Ratio Historical Data,Six Flags Entertainment Price to Free Cash Flow Ratio Historical Data,Six Flags Entertainment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,40.34,,12.41
2024-06-30,54.35,$3.25,16.72
2024-03-31,41.9,$-10.74,0.0
2023-12-31,39.52,$-8.25,0.0
2023-09-30,36.46,$2.25,16.18
2023-06-30,39.09,$0.12,338.18
2022-12-31,39.89,$9.47,4.21
2022-09-30,39.42,$15.93,2.47
2022-06-30,41.77,$3.39,12.31
2022-03-31,52.13,$4.93,10.57
2021-12-31,47.62,$7.60,6.27
2023-03-31,44.37,$0.21,212.0
2021-09-30,44.12,$0.70,63.3
2021-06-30,42.64,$-5.35,0.0
2021-03-31,47.26,$-8.51,0.0
2020-12-31,37.42,$-9.66,0.0
2020-09-30,26.7,$-2.62,0.0
2020-06-30,26.16,$-1.51,0.0
2020-03-31,17.45,$-4.45,0.0
2019-12-31,51.54,$-2.06,0.0
2019-09-30,53.34,$-2.86,0.0
2019-06-30,42.87,$-1.10,0.0
2018-12-31,41.02,$2.83,14.49
2018-09-30,44.4,$7.80,5.69
2018-06-30,52.82,$2.26,23.42
2018-03-31,52.84,$4.38,12.06
2017-12-31,53.04,$7.71,6.88
2019-03-31,46.44,$1.05,44.18
2017-09-30,51.64,$2.71,19.07
2017-06-30,57.33,$3.00,19.09
2017-03-31,53.28,$3.44,15.48
2016-12-31,49.81,$3.50,14.25
2016-09-30,43.83,$3.27,13.42
2016-06-30,43.61,$3.71,11.75
2016-03-31,44.22,$3.03,14.57
2015-12-31,40.94,$3.02,13.57
2015-09-30,38.02,$3.49,10.91
2015-06-30,38.83,$3.21,12.11
2015-03-31,40.39,$3.15,12.84
2014-12-31,33.19,$3.07,10.82
2014-09-30,32.29,$2.85,11.31
2014-06-30,35.62,$2.62,13.6
2014-03-31,33.85,$3.30,10.26
2013-12-31,32.52,$3.65,8.9
2013-09-30,28.19,$3.73,7.55
2013-06-30,26.38,$3.46,7.63
2013-03-31,24.95,$3.50,7.13
2012-12-31,20.64,$3.39,6.08
2012-09-30,20.41,$3.20,6.38
2012-06-30,18.05,$2.75,6.57
2012-03-31,17.55,$-1.68,0.0
2011-12-31,12.57,$-0.43,0.0
2011-09-30,10.72,$3.67,2.92
2011-06-30,11.35,$1.28,8.84
2010-12-31,8.47,$2.00,4.24
2010-09-30,7.28,$7.64,0.95
2010-06-30,6.77,$2.05,3.31
2010-03-31,6.56,$5.78,1.14
2009-12-31,6.27,$8.75,0.72
2011-03-31,10.77,$2.14,5.02
