Sunrun Price to Free Cash Flow Ratio Historical Data,Sunrun Price to Free Cash Flow Ratio Historical Data,Sunrun Price to Free Cash Flow Ratio Historical Data,Sunrun Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,14.57,,0.0
2024-06-30,11.86,$-13.34,0.0
2024-03-31,13.18,$-14.49,0.0
2023-12-31,19.63,$-15.83,0.0
2023-09-30,12.56,$-16.05,0.0
2023-06-30,17.86,$-14.77,0.0
2023-03-31,20.15,$-14.20,0.0
2022-12-31,24.02,$-13.05,0.0
2022-09-30,27.59,$-13.29,0.0
2022-06-30,23.36,$-13.39,0.0
2022-03-31,30.37,$-12.80,0.0
2021-12-31,34.3,$-12.20,0.0
2021-09-30,44.0,$-11.50,0.0
2021-06-30,55.78,$-10.37,0.0
2021-03-31,60.48,$-9.16,0.0
2020-12-31,69.38,$-9.22,0.0
2020-09-30,77.07,$-8.53,0.0
2020-06-30,19.72,$-8.77,0.0
2020-03-31,10.1,$-9.51,0.0
2019-12-31,13.81,$-8.44,0.0
2019-09-30,16.71,$-8.12,0.0
2019-06-30,18.76,$-7.95,0.0
2019-03-31,14.06,$-7.23,0.0
2018-12-31,10.89,$-7.46,0.0
2018-09-30,12.44,$-7.45,0.0
2018-06-30,13.15,$-7.89,0.0
2018-03-31,8.93,$-8.09,0.0
2017-12-31,5.9,$-8.07,0.0
2017-09-30,5.55,$-7.87,0.0
2017-06-30,7.12,$-7.96,0.0
2017-03-31,5.4,$-7.99,0.0
2016-12-31,5.31,$-8.49,0.0
2016-09-30,6.3,$-12.08,0.0
2016-06-30,5.93,$-17.14,0.0
