CoreCivic Price to Free Cash Flow Ratio Historical Data,CoreCivic Price to Free Cash Flow Ratio Historical Data,CoreCivic Price to Free Cash Flow Ratio Historical Data,CoreCivic Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,13.94,,8.92
2024-06-30,12.98,$1.56,8.3
2024-03-31,15.61,$1.28,12.21
2023-12-31,14.53,$1.45,10.0
2023-09-30,11.25,$1.57,7.15
2023-06-30,9.41,$1.09,8.64
2023-03-31,9.2,$0.79,11.67
2022-12-31,11.56,$0.80,14.45
2022-09-30,8.84,$0.35,24.94
2022-06-30,11.11,$1.80,6.16
2022-03-31,11.17,$1.67,6.67
2021-12-31,9.97,$1.67,5.96
2021-09-30,8.9,$2.47,3.61
2021-06-30,10.47,$1.67,6.28
2021-03-31,9.05,$2.64,3.42
2020-12-31,6.55,$2.48,2.65
2020-09-30,8.0,$2.29,3.49
2020-06-30,9.36,$2.58,3.62
2020-03-31,11.17,$2.49,4.49
2019-12-31,16.28,$2.50,6.52
2019-09-30,16.18,$2.41,6.71
2019-06-30,18.96,$2.10,9.04
2019-03-31,17.39,$1.99,8.76
2018-12-31,15.59,$2.19,7.14
2018-09-30,21.28,$2.51,8.49
2018-06-30,20.53,$2.34,8.79
2018-03-31,16.48,$2.48,6.64
2017-12-31,18.58,$2.41,7.7
2017-09-30,21.71,$2.40,9.03
2017-06-30,22.02,$2.48,8.87
2017-03-31,24.7,$2.48,9.94
2016-12-31,18.98,$2.75,6.91
2016-09-30,10.58,$4.32,2.45
2016-06-30,25.71,$4.54,5.66
2016-03-31,23.17,$5.20,4.46
2015-12-31,18.83,$5.14,3.67
2015-03-31,27.1,$3.57,7.6
2014-12-31,24.14,$3.19,7.57
2014-09-30,22.51,$2.53,8.89
2014-06-30,21.21,$1.70,12.47
2014-03-31,19.91,$1.89,10.51
2013-12-31,20.06,$2.05,9.8
2015-09-30,20.58,$2.26,9.09
2013-09-30,21.3,$2.66,8.0
2013-06-30,20.29,$2.82,7.2
2013-03-31,19.27,$2.66,7.24
2012-12-31,17.49,$2.33,7.52
2012-09-30,16.4,$2.56,6.41
2012-06-30,14.36,$2.30,6.24
2012-03-31,13.21,$2.47,5.36
2011-12-31,9.85,$2.87,3.43
2011-09-30,10.98,$3.03,3.62
2011-06-30,10.47,$2.67,3.93
2011-03-31,11.8,$2.28,5.18
2010-12-31,12.12,$1.89,6.41
2010-09-30,11.94,$1.70,7.03
2010-06-30,9.23,$2.51,3.67
2010-03-31,9.61,$2.83,3.39
2009-12-31,11.88,$2.90,4.1
2009-09-30,10.96,$3.21,3.42
