Monarch Casino & Resort Price to Free Cash Flow Ratio Historical Data,Monarch Casino & Resort Price to Free Cash Flow Ratio Historical Data,Monarch Casino & Resort Price to Free Cash Flow Ratio Historical Data,Monarch Casino & Resort Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,77.33,,16.5
2024-06-30,67.86,$4.69,14.48
2024-03-31,74.36,$5.01,14.85
2023-12-31,68.28,$6.33,10.78
2023-09-30,61.03,$6.52,9.35
2023-06-30,68.93,$6.71,10.27
2023-03-31,72.21,$6.47,11.16
2022-12-31,70.12,$5.15,13.63
2022-09-30,51.2,$4.45,11.5
2022-06-30,53.5,$3.71,14.43
2022-03-31,79.55,$4.43,17.94
2021-12-31,67.44,$4.18,16.13
2021-09-30,61.09,$1.12,54.65
2021-06-30,60.34,$0.73,82.81
2021-03-31,55.28,$-1.26,0.0
2020-12-31,55.83,$-3.03,0.0
2020-09-30,40.67,$-0.78,0.0
2020-06-30,31.08,$-2.53,0.0
2020-03-31,25.6,$-2.96,0.0
2019-12-31,44.27,$-3.32,0.0
2019-09-30,38.02,$-4.29,0.0
2019-06-30,38.98,$-5.13,0.0
2019-03-31,40.05,$-5.27,0.0
2018-12-31,34.78,$-4.22,0.0
2018-09-30,41.45,$-2.98,0.0
2018-06-30,40.17,$-1.33,0.0
2018-03-31,38.57,$-0.19,0.0
2017-12-31,40.87,$-0.02,0.0
2017-09-30,36.05,$0.37,98.23
2017-06-30,27.59,$0.75,36.62
2017-03-31,26.94,$0.79,34.25
2016-12-31,23.51,$1.00,23.55
2016-09-30,22.95,$0.47,49.36
2016-06-30,20.04,$0.18,109.6
2016-03-31,17.75,$0.11,159.59
2015-12-31,20.72,$0.03,598.82
2015-09-30,16.39,$0.09,179.29
2015-06-30,18.75,$0.27,68.98
2015-03-31,17.45,$0.42,41.32
2014-12-31,15.13,$0.56,26.93
2014-09-30,10.86,$0.81,13.46
2014-06-30,13.81,$0.85,16.18
2014-03-31,16.9,$0.99,17.14
2013-12-31,18.31,$1.40,13.07
2013-09-30,17.31,$1.36,12.76
2013-06-30,15.38,$1.41,10.92
2013-03-31,8.87,$1.35,6.58
2012-12-31,9.95,$0.97,10.28
2012-09-30,7.94,$0.49,16.17
2012-06-30,8.34,$0.45,18.38
2012-03-31,9.39,$0.57,16.57
2011-12-31,9.29,$0.55,16.81
2011-09-30,8.92,$1.24,7.2
2011-06-30,9.52,$1.28,7.44
2011-03-31,9.48,$1.15,8.26
2010-12-31,11.4,$1.18,9.63
2010-09-30,10.23,$1.05,9.75
2010-06-30,9.24,$0.86,10.69
2010-03-31,7.75,$0.96,8.1
2009-12-31,7.39,$0.64,11.57
