Spyre Therapeutics Price to Free Cash Flow Ratio Historical Data,Spyre Therapeutics Price to Free Cash Flow Ratio Historical Data,Spyre Therapeutics Price to Free Cash Flow Ratio Historical Data,Spyre Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.76,,0.0
2024-06-30,23.51,$-7.58,0.0
2024-03-31,37.93,$-10.52,0.0
2023-12-31,21.52,$-14.42,0.0
2023-09-30,12.25,$-23.25,0.0
2023-06-30,11.26,$-18.34,0.0
2023-03-31,7.25,$-18.50,0.0
2022-12-31,11.25,$-23.79,0.0
2022-09-30,13.15,$-23.80,0.0
2022-06-30,12.63,$-28.10,0.0
2022-03-31,57.5,$-22.99,0.0
2021-12-31,118.75,$-20.64,0.0
2021-09-30,198.75,$-25.93,0.0
2021-06-30,174.0,$-23.63,0.0
2021-03-31,198.0,$-27.68,0.0
2020-12-31,196.75,$-37.50,0.0
2020-09-30,177.25,$-39.66,0.0
2020-06-30,231.25,$-48.62,0.0
2020-03-31,116.5,$-56.28,0.0
2019-12-31,191.0,$-52.57,0.0
2019-09-30,192.25,$-48.28,0.0
2019-06-30,171.25,$-43.64,0.0
2019-03-31,201.25,$-41.59,0.0
2018-12-31,187.25,$-39.16,0.0
2018-09-30,239.25,$-41.16,0.0
2018-06-30,264.5,$-41.15,0.0
2018-03-31,248.0,$-42.32,0.0
2017-12-31,135.25,$-41.70,0.0
2017-09-30,123.24,$-50.50,0.0
2017-06-30,96.25,$-50.86,0.0
2017-03-31,186.25,$-59.31,0.0
