Endeavour Silver Price to Free Cash Flow Ratio Historical Data,Endeavour Silver Price to Free Cash Flow Ratio Historical Data,Endeavour Silver Price to Free Cash Flow Ratio Historical Data,Endeavour Silver Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,4.25,,0.0
2024-06-30,3.52,$-0.63,0.0
2024-03-31,2.41,$-0.57,0.0
2023-12-31,1.97,$-0.50,0.0
2023-09-30,2.43,$-0.25,0.0
2023-06-30,2.89,$-0.37,0.0
2023-03-31,3.88,$-0.45,0.0
2022-12-31,3.24,$-0.29,0.0
2022-09-30,3.02,$-0.34,0.0
2022-06-30,3.14,$-0.24,0.0
2022-03-31,4.65,$-0.00,0.0
2021-12-31,4.22,$-0.12,0.0
2021-09-30,4.09,$-0.02,0.0
2021-06-30,6.12,$0.17,36.78
2021-03-31,4.96,$0.08,63.1
2020-12-31,5.04,$0.09,57.01
2020-09-30,3.51,$-0.06,0.0
2020-06-30,2.28,$-0.18,0.0
2020-03-31,1.34,$-0.19,0.0
2019-12-31,2.41,$-0.23,0.0
2019-09-30,2.22,$-0.20,0.0
2019-06-30,2.05,$-0.17,0.0
2019-03-31,2.52,$-0.18,0.0
2018-12-31,2.15,$-0.11,0.0
2018-09-30,2.31,$-0.15,0.0
2018-06-30,3.12,$-0.15,0.0
2018-03-31,2.43,$-0.21,0.0
2017-12-31,2.39,$-0.19,0.0
2017-09-30,2.38,$-0.23,0.0
2017-06-30,3.05,$-0.09,0.0
2017-03-31,3.18,$0.09,36.72
2016-12-31,3.52,$0.03,125.71
2016-09-30,5.13,$0.06,92.27
2016-06-30,3.95,$-0.08,0.0
2016-03-31,2.46,$-0.04,0.0
2015-12-31,1.42,$-0.03,0.0
2015-09-30,1.55,$-0.01,0.0
2015-06-30,1.99,$-0.08,0.0
2015-03-31,1.9,$-0.15,0.0
2014-12-31,2.16,$-0.03,0.0
2014-09-30,4.37,$0.13,32.44
2014-06-30,5.46,$0.30,18.51
2014-03-31,4.31,$0.15,29.4
2013-12-31,3.63,$-0.12,0.0
2013-09-30,4.3,$-0.35,0.0
2013-06-30,3.43,$-0.43,0.0
2013-03-31,6.22,$-0.30,0.0
2012-12-31,7.89,$0.10,79.62
2012-09-30,9.98,$-0.03,0.0
2012-06-30,8.12,$0.06,134.88
2012-03-31,9.48,$0.16,60.81
2011-12-31,9.71,$0.03,329.15
2011-09-30,8.98,$0.44,20.37
2011-06-30,8.4,$0.33,25.39
2011-03-31,9.82,$0.17,58.87
2010-12-31,7.34,$0.04,206.18
2010-09-30,4.03,$-0.09,0.0
2010-06-30,3.38,$-0.07,0.0
2010-03-31,3.21,$-0.02,0.0
2009-12-31,3.64,$-0.09,0.0
