Empire State Realty Trust Price to Free Cash Flow Ratio Historical Data,Empire State Realty Trust Price to Free Cash Flow Ratio Historical Data,Empire State Realty Trust Price to Free Cash Flow Ratio Historical Data,Empire State Realty Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,11.43,,64.25
2024-06-30,9.35,$0.18,52.55
2024-03-31,10.06,$0.34,30.0
2023-12-31,9.59,$0.58,16.41
2023-09-30,7.93,$0.20,40.01
2023-06-30,7.35,$0.28,26.65
2023-03-31,6.34,$0.12,51.42
2022-12-31,6.55,$-0.07,0.0
2022-09-30,6.34,$-0.03,0.0
2022-06-30,6.76,$-0.03,0.0
2022-03-31,9.4,$-0.07,0.0
2021-12-31,8.49,$-0.00,0.0
2021-09-30,9.53,$0.30,31.61
2021-06-30,11.36,$0.28,40.69
2021-03-31,10.51,$0.24,43.36
2020-12-31,8.8,$0.14,63.74
2020-09-30,5.78,$0.09,60.87
2020-06-30,6.61,$0.07,100.87
2020-03-31,8.33,$-0.03,0.0
2019-12-31,12.84,$-0.06,0.0
2019-09-30,13.03,$0.09,143.98
2019-06-30,13.42,$-0.06,0.0
2019-03-31,14.22,$0.09,149.88
2018-12-31,12.73,$0.12,105.09
2018-09-30,14.75,$-0.09,0.0
2018-06-30,15.1,$-0.02,0.0
2018-03-31,14.73,$-0.06,0.0
2017-12-31,17.9,$-0.10,0.0
2017-09-30,17.82,$0.03,643.36
2017-06-30,17.93,$0.03,593.67
2017-03-31,17.73,$-0.07,0.0
2016-12-31,17.25,$-0.09,0.0
2016-09-30,17.81,$0.09,193.6
2016-06-30,16.06,$-0.02,0.0
2015-12-31,15.12,$0.23,65.56
2015-09-30,14.19,$-0.57,0.0
2015-06-30,14.14,$-0.61,0.0
2015-03-31,15.51,$-1.21,0.0
2014-12-31,14.43,$-1.32,0.0
2016-03-31,14.75,$-0.52,0.0
2014-09-30,12.27,$-1.34,0.0
