G-III Apparel Group Price to Free Cash Flow Ratio Historical Data,G-III Apparel Group Price to Free Cash Flow Ratio Historical Data,G-III Apparel Group Price to Free Cash Flow Ratio Historical Data,G-III Apparel Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-10-17,32.76,,3.54
2024-07-31,27.57,$9.24,2.98
2024-04-30,28.15,$8.53,3.3
2024-01-31,30.09,$11.98,2.51
2023-10-31,25.55,$10.75,2.38
2023-07-31,20.71,$1.54,13.47
2023-04-30,15.7,$1.50,10.45
2023-01-31,16.92,$1.31,12.91
2022-10-31,19.5,$-9.25,0.0
2022-04-30,26.48,$2.63,10.08
2022-01-31,27.17,$3.38,8.03
2021-10-31,28.66,$3.05,9.41
2021-07-31,29.86,$7.83,3.81
2021-04-30,32.49,$1.05,30.99
2021-01-31,27.04,$2.86,9.46
2022-07-31,22.09,$-2.42,0.0
2020-10-31,13.48,$5.84,2.31
2020-07-31,9.89,$7.61,1.3
2020-04-30,11.33,$2.62,4.33
2020-01-31,27.21,$3.50,7.78
2019-10-31,25.11,$1.33,18.82
2019-07-31,28.66,$0.34,83.29
2019-04-30,43.15,$1.30,33.2
2019-01-31,34.87,$1.48,23.49
2018-10-31,39.86,$1.24,32.2
2018-07-31,45.7,$1.55,29.43
2018-04-30,36.49,$1.12,32.63
2018-01-31,37.35,$0.91,41.08
2017-10-31,25.34,$-0.79,0.0
2017-07-31,26.03,$0.27,97.05
2017-04-30,23.7,$0.99,23.83
2017-01-31,26.26,$1.70,15.41
2016-10-31,26.12,$2.51,10.42
2016-07-31,40.03,$1.45,27.59
2016-04-30,45.25,$1.54,29.38
2016-01-31,49.36,$0.69,71.46
2015-10-31,55.09,$0.62,88.43
2015-07-31,72.23,$2.10,34.4
2015-04-30,55.59,$0.42,133.37
2015-01-31,48.6,$1.04,46.86
2014-10-31,39.68,$0.66,59.87
2014-07-31,38.84,$0.07,554.79
2014-04-30,35.89,$1.46,24.5
2014-01-31,34.99,$1.33,26.39
2013-10-31,28.36,$1.03,27.42
2013-07-31,25.73,$0.89,28.91
2013-04-30,20.33,$1.61,12.63
2013-01-31,17.95,$1.06,16.97
2012-10-31,18.48,$1.96,9.45
2012-07-31,12.29,$1.75,7.03
2012-04-30,13.43,$-0.44,0.0
2012-01-31,11.43,$-0.26,0.0
2011-10-31,14.1,$-1.90,0.0
2011-07-31,15.44,$-1.65,0.0
2011-04-30,22.43,$-1.20,0.0
2011-01-31,17.45,$-1.22,0.0
2010-10-31,13.2,$-0.43,0.0
2010-07-31,12.9,$0.33,38.86
2010-04-30,14.3,$0.44,32.37
2010-01-31,8.71,$1.22,7.11
2009-10-31,8.01,$-2.89,0.0
